"","MEblack","MEfloralwhite","MEorange","MEsienna3","MEdarkturquoise","MElightcyan1","MEpaleturquoise","MEdarkmagenta","MEwhite","MElightcyan","MEplum1","MEcyan","MEroyalblue","MEgreenyellow","MEgrey60","MEdarkolivegreen","MEpurple","MEyellowgreen","MEpink","MEskyblue","MEdarkgreen","MEivory","MElightsteelblue1","MEskyblue3","MEgrey"
"SRR10030500",-0.00746272012515915,-0.0836411926796362,-0.0638775569656144,-0.0520331752359579,0.0714621399812449,0.0932615285586723,0.0490532183499881,0.0278783621695613,0.114150760761239,-0.011890028739007,-0.0334327176334479,-0.0371400471274453,0.0523926861997638,-0.0657363812872885,-0.0120798221298306,0.0423823603504059,-0.0345444765993945,-0.0166405773446443,0.0192423998159728,-0.046045691751389,-0.029559607637629,-0.0160714752011805,-0.0143021163275695,-0.0289418293140388,-0.0756298752374912
"SRR10030501",-0.00727320166252713,-0.0796860721749677,-0.066205108880742,-0.048799682231476,0.0704166895533049,0.0918319234754388,0.0485369519046988,0.0326826879903619,0.109331379324548,-0.0140176074147962,-0.0371254123731517,-0.0347165033599263,0.0462301853053135,-0.0655483940639805,-0.0108181350298363,0.0419989912247237,-0.0380156162124997,-0.0242787294276947,0.0205227938080739,-0.0453662921382077,-0.0297723330715513,-0.0163535231348273,-0.0203212456622644,-0.0275635084542811,-0.071689582779861
"SRR10030502",-0.00705028996439625,-0.0811077577405362,-0.0668878485685364,-0.0426482429026987,0.0703148503178579,0.0919683400963089,0.0498038909650522,0.0356829482590879,0.11245035674087,-0.0132300739769939,-0.0333020139755472,-0.0371581161117541,0.0476566116356156,-0.0680103781009077,-0.010862346348397,0.0449883716283898,-0.0336714935241163,-0.0308903416947069,0.0186544234815885,-0.045435769414498,-0.0324907617568578,-0.0169388465345067,-0.0203212456622644,-0.0294433353289953,-0.068010858904006
"SRR10030503",-0.0074955220421907,-0.0813785248478869,-0.0688660183347179,-0.0418690680886662,0.0713573442074688,0.0937688367778937,0.0473113780703658,0.0293087501793275,0.110334772236684,-0.0130918583888139,-0.034042335877445,-0.0357805990577183,0.0498706353432649,-0.0673395794656904,-0.00957445463566751,0.0454575773995112,-0.0362302084539796,-0.0295236502369262,0.0193499102375713,-0.0458131078704835,-0.0289983147281139,-0.0160618406026085,-0.0203212456622644,-0.0222835367211154,-0.0710021959604553
"SRR10030504",-0.00812840452912739,-0.0907946264347666,-0.0664083941427052,-0.0434923011025721,0.0706983044654295,0.0916783595066552,0.0508360200114716,0.0297389988142467,0.112504995272996,-0.0147425443430991,-0.0299253618317656,-0.0358991980606128,0.0493238845422178,-0.0691036488947989,-0.0097615441101758,0.0457676969763831,-0.0347153926839371,-0.0252625539082699,0.0208926234098997,-0.0462680416498204,-0.0288093327379757,-0.0166176885956061,-0.0203212456622644,-0.0316981659645179,-0.0707687899711203
"SRR10030505",-0.0075658380600452,-0.0838067116568718,-0.0678324292136799,-0.0436573060091168,0.0715372616008214,0.0925802903705049,0.0513256768646248,0.0332913636225014,0.112838211767505,-0.0150081860917492,-0.0320289580687734,-0.0348999483664646,0.0454510129854177,-0.0666739783882223,-0.0111093472799097,0.0462878973122542,-0.0351429521843677,-0.0259420146141246,0.0206396706068492,-0.0455657591460442,-0.0286815584295509,-0.0148868355986593,-0.0179176246128868,-0.0268672431662237,-0.067562416173672
"SRR12330763",-0.0814153352778261,0.127810798184809,0.0136863871589105,-0.0851608144391034,0.0265992158831081,-0.0505963293178178,-0.0719193101749388,-0.0836972779382831,-0.0406180938532955,-0.0455886762225449,0.00331746933317168,-0.0327979126075843,-0.247225737779802,0.0805073466855822,0.183999863133242,0.0850052957165502,0.0412205290266293,0.110959289510849,0.0859913740423213,0.101166636611219,-0.0171206250989414,-0.00439828796154583,-0.0172323563472559,-0.0192057659173442,0.0633521554521013
"SRR12330764",-0.0849747054836481,0.120754175007455,0.0105211982387906,-0.093974669158885,0.0319924020084836,-0.0519331301612217,-0.0745326275054644,-0.0869375545708281,-0.0427652430390943,-0.0469533433490179,0.00537275990476587,-0.0372384895685952,-0.271852203179173,0.0787568601616118,0.187949550637948,0.0881417364656546,0.0453872618791572,0.107292365981721,0.0872358469316136,0.102269462419375,-0.0183866643748758,-0.00801338608356616,-0.00951561967491379,-0.0242328162203991,0.0542826882381747
"SRR12330765",-0.0782624008641688,0.127889216737481,0.0158515352144126,-0.0817838996123147,0.0282358398577125,-0.0565266512009928,-0.0652134279995405,-0.0766211205744193,-0.0336844846696236,-0.050399915719676,-0.00235792127260872,-0.0335799125965255,-0.229719527494316,0.0799014143344772,0.175947028438437,0.0789803815015011,0.0408927572232529,0.114009851016557,0.0901346713092313,0.102783376436337,-0.0179236493732839,-0.00623607086781166,-0.0158935407128799,-0.0161607646819193,0.0557106537679732
"SRR12330766",-0.0709818253912542,0.0871221554676075,-0.0046838992585852,-0.0847216198146132,0.0550536858767382,-0.0375660854826427,-0.0452673088758783,-0.0871527331054841,0.00822842028844403,-0.0589399118904914,-0.0123755764766007,-0.0373211780199687,-0.196462704927508,0.0305415544272135,0.124803826478736,0.101539488609905,0.0140850974836305,0.00894199797485408,0.0491216099580596,0.0864660006802488,-0.024096336442061,-0.00978763296024176,-0.0203212456622644,-0.0225630935699416,0.0180269260185393
