target_id,SRR13824033,SRR13824030,SRR13824004,SRR13824032,SRR13823989,SRR13824011,SRR13824003,SRR13823991,SRR13824015,SRR13823996,SRR13824001,SRR13824025,SRR13823990,SRR13824014,SRR13823992,SRR13823988,SRR13824009,SRR13824031,SRR13824020,SRR13824007,SRR13824022,SRR13824005,SRR13823994,SRR13824023,SRR13824021,SRR13824008,SRR13824024,SRR13824012,SRR13824039,SRR13823997,SRR13824028,SRR13824002,SRR13824018,SRR13824034,SRR13824010,SRR13824013,SRR13824029,SRR13824016,SRR13824035,SRR13824026,SRR13824019,SRR13824000,SRR13824006,SRR13823998,SRR13823995,SRR13824027,SRR13823999,SRR13824017,SRR13823993
AT5G48290.2,0.0,46.8727,0.0,118.484,8.76227,0.0,16.9367,3.56862,14.4724,45.4406,16.0,133.493,0.0,34.2537,32.7764,15.6871,0.0,0.0,183.881,0.0,202.713,24.0,58.9969,2.0,0.0,7.2685,98.5789,171.143,0.0,0.0,36.4386,3.44308e-06,60.7722,133.47,7.5167,94.1176,21.0,23.2265,0.0,25.3606,0.0,7.0,30.1787,84.9051,0.0,19.5957,0.0,33.0968,28.2281
AT5G48290.3,0.0,11.1273,16.0,19.5047,9.23773,0.0,0.0,0.0,24.0835,6.37372,0.0,8.2773,10.0,17.7677,8.38504,12.3129,0.0,0.0,65.753,0.0,68.2049,0.0,34.035,0.0,0.0,15.1428,35.9711,48.1574,0.0,0.0,8.88644,6.8267,8.35785,17.5299,3.15345,26.8824,0.0,4.91755,0.0,22.6394,0.0,0.0,14.4465,27.1777,8.94194,26.0173,0.0,12.3483,7.77194
AT5G48300.1,0.0,7.0,9.0,10.0,1.0,0.0,0.0,2.0,9.0,29.0,5.0,18.0,0.0,10.0,6.0,7.0,0.0,0.0,48.0,3.0,74.0,4.0,40.0,0.0,1.0,8.0,26.0,39.0,0.0,0.0,12.0,6.0,25.0,30.0,2.0,27.0,3.0,14.0,0.0,13.0,4.0,4.0,9.0,23.0,2.0,7.0,0.0,6.0,12.0
AT5G48310.1,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0
AT5G48310.2,0.0,0.0,1.0,12.0,0.0,0.0,0.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,16.0,0.0,24.0,0.0,22.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
AT5G48320.1,0.0,4.0,1.0,13.0,1.0,0.0,2.0,2.0,7.0,6.0,1.0,24.0,0.0,2.0,4.0,6.0,0.0,1.0,43.0,3.0,19.0,5.0,4.0,0.0,0.0,3.4572,10.0,14.2457,0.0,0.0,5.0,2.0,6.0,15.0,0.0,7.0,10.0,2.0,0.0,5.0,0.0,0.0,4.0,14.3084,4.0,10.0,0.0,6.0,3.0
AT5G48330.1,1.0,9.07477e-08,0.0,0.0,3.33888e-08,0.999999,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,37.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G48330.2,0.0,29.0,8.0,83.0,28.0,1.08562e-06,18.0,12.0,33.0,93.0,24.0,82.0,5.64284e-07,27.0,33.0,3.21578e-07,0.0,1.37392e-08,284.0,6.93037e-08,255.0,25.0,78.0,3.0,2.78975e-07,25.0,88.0,121.0,0.0,2.99988e-07,30.0,11.0,71.0,114.0,16.0,73.0,20.0,25.0,0.0,26.0,6.0,16.0,34.0,108.0,35.0,30.0,0.0,45.0,34.0
AT5G48335.1,23.0,120.0,42.0,380.0,110.0,2.0,106.0,45.0,132.0,388.0,86.0,420.0,31.0,152.0,123.0,147.0,3.0,35.0,966.0,45.0,975.0,63.0,312.0,21.0,6.0,101.0,279.0,608.0,0.0,2.0,154.0,81.0,254.0,443.0,90.0,290.0,107.0,141.0,2.0,143.0,46.0,42.0,141.0,423.0,338.0,137.0,4.0,151.0,149.0
AT5G48340.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9657,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.91549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
