ID;Run;Experiment;Timepoint (dpi);infected_control;Library;avgSpotLen;infection_type;Category;Category_trophs;Tissue
116;SRR10030492;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
117;SRR10030493;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
118;SRR10030494;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
119;SRR10030495;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
120;SRR10030496;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
121;SRR10030497;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
122;SRR10030498;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
123;SRR10030499;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
124;SRR10030500;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
125;SRR10030501;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
126;SRR10030502;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
127;SRR10030503;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
128;SRR10030504;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
129;SRR10030505;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
130;SRR12330763;Meloidogyne javanica;3;infected;paired;300;infected;nematode;biotroph;root
131;SRR12330764;Meloidogyne javanica;3;infected;paired;300;infected;nematode;biotroph;root
132;SRR12330765;Meloidogyne javanica;3;infected;paired;300;infected;nematode;biotroph;root
133;SRR12330766;Meloidogyne javanica;3;control;paired;300;control;nematode;biotroph;root
134;SRR12330767;Meloidogyne javanica;3;control;paired;300;control;nematode;biotroph;root
135;SRR12330768;Meloidogyne javanica;3;control;paired;300;control;nematode;biotroph;root
136;SRR7811358;Plasmodiophora brassicae;24;infected;paired;202;infected;protist biotroph;biotroph;root
137;SRR7811359;Plasmodiophora brassicae;20;infected;paired;202;infected;protist biotroph;biotroph;root
138;SRR7811360;Plasmodiophora brassicae;20;infected;paired;202;infected;protist biotroph;biotroph;root
139;SRR7811361;Plasmodiophora brassicae;24;infected;paired;202;infected;protist biotroph;biotroph;root
140;SRR7811362;Plasmodiophora brassicae;24;infected;paired;202;infected;protist biotroph;biotroph;root
141;SRR7811363;Plasmodiophora brassicae;17;infected;paired;202;infected;protist biotroph;biotroph;root
142;SRR7811364;Plasmodiophora brassicae;17;infected;paired;202;infected;protist biotroph;biotroph;root
143;SRR7811365;Plasmodiophora brassicae;17;infected;paired;202;infected;protist biotroph;biotroph;root
144;SRR7811366;Plasmodiophora brassicae;20;infected;paired;202;infected;protist biotroph;biotroph;root
145;SRR3124722;Plasmodiophora brassicae 2;17;infected;paired;202;infected - leaf;protist biotroph;biotroph;leaf
146;SRR3124724;Plasmodiophora brassicae 2;24;infected;paired;202;infected - leaf;protist biotroph;biotroph;leaf
147;SRR3124726;Plasmodiophora brassicae 2;17;infected;paired;202;infected - leaf;protist biotroph;biotroph;leaf
148;SRR3124729;Plasmodiophora brassicae 2;20;infected;paired;202;infected - leaf;protist biotroph;biotroph;leaf
149;SRR3124731;Plasmodiophora brassicae 2;24;infected;paired;202;infected - leaf;protist biotroph;biotroph;leaf
150;SRR3124735;Plasmodiophora brassicae 2;17;infected;paired;202;infected - root;protist biotroph;biotroph;root
151;SRR3124737;Plasmodiophora brassicae 2;20;infected;paired;202;infected - root;protist biotroph;biotroph;root
152;SRR3124740;Plasmodiophora brassicae 2;24;infected;paired;202;infected - root;protist biotroph;biotroph;root
153;SRR3124742;Plasmodiophora brassicae 2;17;infected;paired;202;infected - root;protist biotroph;biotroph;root
154;SRR3124743;Plasmodiophora brassicae 2;20;infected;paired;202;infected - root;protist biotroph;biotroph;root
155;SRR3124745;Plasmodiophora brassicae 2;24;infected;paired;202;infected - root;protist biotroph;biotroph;root
156;SRR3124747;Plasmodiophora brassicae 2;20;infected;paired;202;infected - leaf;protist biotroph;biotroph;leaf
157;SRR3124748;Plasmodiophora brassicae 2;17;infected;paired;202;infected - root;protist biotroph;biotroph;root
158;SRR3124750;Plasmodiophora brassicae 2;20;infected;paired;202;infected - root;protist biotroph;biotroph;root
159;SRR3124752;Plasmodiophora brassicae 2;24;infected;paired;202;infected - root;protist biotroph;biotroph;root
160;SRR3124754;Plasmodiophora brassicae 2;17;control;paired;202;control - leaf;protist biotroph;biotroph;leaf
161;SRR3124756;Plasmodiophora brassicae 2;20;control;paired;202;control - leaf;protist biotroph;biotroph;leaf
162;SRR3124759;Plasmodiophora brassicae 2;24;control;paired;202;control - leaf;protist biotroph;biotroph;leaf
163;SRR3124761;Plasmodiophora brassicae 2;17;control;paired;202;control - leaf;protist biotroph;biotroph;leaf
164;SRR3124764;Plasmodiophora brassicae 2;20;control;paired;202;control - leaf;protist biotroph;biotroph;leaf
165;SRR3124766;Plasmodiophora brassicae 2;24;control;paired;202;control - leaf;protist biotroph;biotroph;leaf
166;SRR3124767;Plasmodiophora brassicae 2;17;control;paired;202;control - leaf;protist biotroph;biotroph;leaf
167;SRR3124769;Plasmodiophora brassicae 2;24;infected;paired;202;infected - leaf;protist biotroph;biotroph;leaf
168;SRR3124770;Plasmodiophora brassicae 2;20;control;paired;202;control - leaf;protist biotroph;biotroph;leaf
169;SRR3124772;Plasmodiophora brassicae 2;24;control;paired;202;control - leaf;protist biotroph;biotroph;leaf
170;SRR3124775;Plasmodiophora brassicae 2;17;control;paired;202;control - root;protist biotroph;biotroph;root
171;SRR3124986;Plasmodiophora brassicae 2;20;control;paired;202;control - root;protist biotroph;biotroph;root
172;SRR3124987;Plasmodiophora brassicae 2;24;control;paired;202;control - root;protist biotroph;biotroph;root
