Run;Experiment;Timepoint (dpi);infected/control;single/paired;avgSpotLen;infection;infected/control.num
SRR10030494;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030495;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030496;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030497;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030498;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030499;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030500;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030501;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030502;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030503;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030504;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR10030505;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;1
SRR12330763;Meloidogyne javanica;3;infected;paired;300;infected;1
SRR12330764;Meloidogyne javanica;3;infected;paired;300;infected;1
SRR12330765;Meloidogyne javanica;3;infected;paired;300;infected;1
SRR12330766;Meloidogyne javanica;3;control;paired;300;control;0
SRR12330767;Meloidogyne javanica;3;control;paired;300;control;0
SRR12330768;Meloidogyne javanica;3;control;paired;300;control;0
SRR7811358;Plasmodiophora brassicae;24;infected;paired;202;infected;1
SRR7811359;Plasmodiophora brassicae;20;infected;paired;202;infected;1
SRR7811360;Plasmodiophora brassicae;20;infected;paired;202;infected;1
SRR7811361;Plasmodiophora brassicae;24;infected;paired;202;infected;1
SRR7811362;Plasmodiophora brassicae;24;infected;paired;202;infected;1
SRR7811363;Plasmodiophora brassicae;17;infected;paired;202;infected;1
SRR7811364;Plasmodiophora brassicae;17;infected;paired;202;infected;1
SRR7811365;Plasmodiophora brassicae;17;infected;paired;202;infected;1
SRR7811366;Plasmodiophora brassicae;20;infected;paired;202;infected;1
SRR3124722;Plasmodiophora brassicae 2;17;infected;paired;202;infected - leaf;1
SRR3124724;Plasmodiophora brassicae 2;24;infected;paired;202;infected - leaf;1
SRR3124726;Plasmodiophora brassicae 2;17;infected;paired;202;infected - leaf;1
SRR3124729;Plasmodiophora brassicae 2;20;infected;paired;202;infected - leaf;1
SRR3124731;Plasmodiophora brassicae 2;24;infected;paired;202;infected - leaf;1
SRR3124735;Plasmodiophora brassicae 2;17;infected;paired;202;infected - root;1
SRR3124737;Plasmodiophora brassicae 2;20;infected;paired;202;infected - root;1
SRR3124740;Plasmodiophora brassicae 2;24;infected;paired;202;infected - root;1
SRR3124742;Plasmodiophora brassicae 2;17;infected;paired;202;infected - root;1
SRR3124743;Plasmodiophora brassicae 2;20;infected;paired;202;infected - root;1
SRR3124745;Plasmodiophora brassicae 2;24;infected;paired;202;infected - root;1
SRR3124747;Plasmodiophora brassicae 2;20;infected;paired;202;infected - leaf;1
SRR3124748;Plasmodiophora brassicae 2;17;infected;paired;202;infected - root;1
SRR3124750;Plasmodiophora brassicae 2;20;infected;paired;202;infected - root;1
SRR3124752;Plasmodiophora brassicae 2;24;infected;paired;202;infected - root;1
SRR3124754;Plasmodiophora brassicae 2;17;control;paired;202;control - leaf;0
SRR3124756;Plasmodiophora brassicae 2;20;control;paired;202;control - leaf;0
SRR3124759;Plasmodiophora brassicae 2;24;control;paired;202;control - leaf;0
