;Run;Experiment;Time.series;infected.control;single.paired;avgSpotLen;p_pseudoaligned;n_pseudoaligned;n_processed;alignment_status
184;SRR3124747;Plasmodiophora brassicae 2;20 dpi;infected;paired;202;97.6;9139710;9363389;Good
185;SRR3124748;Plasmodiophora brassicae 2;17 dpi;infected;paired;202;96.5;8604410;8919751;Good
186;SRR3124750;Plasmodiophora brassicae 2;20 dpi;infected;paired;202;97.2;13420283;13808659;Good
187;SRR3124752;Plasmodiophora brassicae 2;24 dpi;infected;paired;202;93.1;11791646;12665914;Good
188;SRR3124754;Plasmodiophora brassicae 2;17 dpi;control;paired;202;98;15578453;15902816;Good
189;SRR3124756;Plasmodiophora brassicae 2;20 dpi;control;paired;202;95.2;15063572;15816370;Good
190;SRR3124759;Plasmodiophora brassicae 2;24 dpi;control;paired;202;97.8;10280256;10506544;Good
191;SRR3124761;Plasmodiophora brassicae 2;17 dpi;control;paired;202;97.8;10579966;10814844;Good
192;SRR3124764;Plasmodiophora brassicae 2;20 dpi;control;paired;202;97.9;11028372;11268726;Good
193;SRR3124766;Plasmodiophora brassicae 2;24 dpi;control;paired;202;97.8;11741122;12004346;Good
194;SRR3124767;Plasmodiophora brassicae 2;17 dpi;control;paired;202;97.8;5762645;5892667;Good
195;SRR3124769;Plasmodiophora brassicae 2;24 dpi;infected;paired;202;98.1;20028003;20421974;Good
196;SRR3124770;Plasmodiophora brassicae 2;20 dpi;control;paired;202;98;8813252;8993506;Good
197;SRR3124772;Plasmodiophora brassicae 2;24 dpi;control;paired;202;97.9;13761877;14050423;Good
198;SRR3124775;Plasmodiophora brassicae 2;17 dpi;control;paired;202;96.6;11374896;11777627;Good
199;SRR3124986;Plasmodiophora brassicae 2;20 dpi;control;paired;202;97.3;20252610;20818323;Good
200;SRR3124987;Plasmodiophora brassicae 2;24 dpi;control;paired;202;96.8;13089074;13516061;Good
201;SRR3124990;Plasmodiophora brassicae 2;17 dpi;control;paired;202;96.5;13270398;13751446;Good
202;SRR3124992;Plasmodiophora brassicae 2;20 dpi;control;paired;202;96.6;13650660;14133849;Good
203;SRR3124994;Plasmodiophora brassicae 2;24 dpi;control;paired;202;96.4;11107922;11521985;Good
204;SRR3124997;Plasmodiophora brassicae 2;17 dpi;control;paired;202;97.1;12922062;13309423;Good
205;SRR3124998;Plasmodiophora brassicae 2;20 dpi;control;paired;202;96.7;9620466;9947495;Good
206;SRR3125002;Plasmodiophora brassicae 2;17 dpi;infected;paired;202;97.8;11318568;11575777;Good
207;SRR3125004;Plasmodiophora brassicae 2;24 dpi;control;paired;202;95.2;10246833;10761687;Good
208;SRR3125005;Plasmodiophora brassicae 2;20 dpi;infected;paired;202;97.9;10295348;10518831;Good
209;SRR7811358;Plasmodiophora brassicae;24 dpi;infected;paired;202;93.1;11791646;12665914;Good
210;SRR7811359;Plasmodiophora brassicae;20 dpi;infected;paired;202;96.8;12564831;12978398;Good
211;SRR7811360;Plasmodiophora brassicae;20 dpi;infected;paired;202;97.2;13420283;13808659;Good
212;SRR7811361;Plasmodiophora brassicae;24 dpi;infected;paired;202;93.4;11688092;12514167;Good
213;SRR7811362;Plasmodiophora brassicae;24 dpi;infected;paired;202;94.5;12610433;13348939;Good
214;SRR7811363;Plasmodiophora brassicae;17 dpi;infected;paired;202;96.7;25174980;26026429;Good
215;SRR7811364;Plasmodiophora brassicae;17 dpi;infected;paired;202;98;10311210;10524498;Good
216;SRR7811365;Plasmodiophora brassicae;17 dpi;infected;paired;202;96.5;8604410;8919751;Good
217;SRR7811366;Plasmodiophora brassicae;20 dpi;infected;paired;202;96.9;11963630;12341757;Good
218;SRR8689382;Erysiphe cichoracearum ;2 dpi;infected;paired;252;93.4;9912564;10609250;Good
219;SRR8689383;Erysiphe cichoracearum ;2 dpi;infected;paired;252;93.5;9188643;9829831;Good
220;SRR8689384;Erysiphe cichoracearum ;2 dpi;infected;paired;252;93.8;10962220;11691263;Good
221;SRR8689388;Erysiphe cichoracearum ;5 dpi;infected;paired;252;93.2;12549394;13466698;Good
222;SRR8689389;Erysiphe cichoracearum ;5 dpi;infected;paired;252;93.1;9176092;9852794;Good
223;SRR8689390;Erysiphe cichoracearum ;5 dpi;infected;paired;252;93;10037076;10797604;Good
224;SRR8689394;Erysiphe cichoracearum ;7 dpi;infected;paired;252;94.5;9096496;9623065;Good
225;SRR8689395;Erysiphe cichoracearum ;7 dpi;infected;paired;252;94.2;10336714;10968477;Good
226;SRR8689396;Erysiphe cichoracearum ;7 dpi;infected;paired;252;93.8;11060979;11797045;Good
227;SRR8689400;Erysiphe cichoracearum ;2 d;control;paired;252;94.3;10626172;11274142;Good
228;SRR8689401;Erysiphe cichoracearum ;2 d;control;paired;252;94.1;10223312;10870046;Good
229;SRR8689402;Erysiphe cichoracearum ;2 d;control;paired;252;94.6;10005205;10578778;Good
230;SRR8689406;Erysiphe cichoracearum ;5 d;control;paired;252;94.7;10690017;11289729;Good
231;SRR8689407;Erysiphe cichoracearum ;5 d;control;paired;252;93.2;10142912;10882252;Good
232;SRR8689408;Erysiphe cichoracearum ;5 d;control;paired;252;95.2;9395824;9874422;Good
233;SRR8689412;Erysiphe cichoracearum ;7 d;control;paired;252;90.1;9178285;10185941;Good
234;SRR8689413;Erysiphe cichoracearum ;7 d;control;paired;252;93.9;9322937;9932654;Good
235;SRR8689414;Erysiphe cichoracearum ;7 d;control;paired;252;95.2;10745370;11293079;Good
236;SRR8800677;Golovinomyces orontii;no;control;single;150;97;2180440;2248775;Poor
237;SRR8800678;Golovinomyces orontii;no;control;single;150;96.8;1320254;1363645;Poor
238;SRR8800679;Golovinomyces orontii;no;control;single;150;96.9;6397985;6600480;Good
239;SRR8800680;Golovinomyces orontii;no;control;single;150;96.8;4833081;4990510;Good
240;SRR8800681;Golovinomyces orontii;no;control;single;150;96.8;5059584;5224394;Good
241;SRR8800682;Golovinomyces orontii;no;control;single;150;97;2334111;2405142;Poor
242;SRR8800683;Golovinomyces orontii;no;control;single;150;96.9;1389457;1433791;Poor
243;SRR8800684;Golovinomyces orontii;no;control;single;150;97;6641714;6845261;Good
244;SRR8800685;Golovinomyces orontii;no;control;single;150;96.9;4505250;4648582;Good
245;SRR8800686;Golovinomyces orontii;no;control;single;150;96.9;4791035;4943005;Good
246;SRR8800687;Golovinomyces orontii;no;control;single;150;96.9;2132610;2201631;Poor
247;SRR8800688;Golovinomyces orontii;no;control;single;150;96.7;1176119;1216050;Poor
248;SRR8800689;Golovinomyces orontii;no;control;single;150;96.8;5787775;5976042;Good
249;SRR8800690;Golovinomyces orontii;no;control;single;150;96.7;8786385;9087445;Good
250;SRR8800691;Golovinomyces orontii;no;control;single;150;96.7;4658130;4819277;Good
251;SRR8800692;Golovinomyces orontii;no;infected;single;150;96.4;21273181;22070622;Good
252;SRR8800693;Golovinomyces orontii;no;infected;single;150;96.5;11999803;12438787;Good
253;SRR8800694;Golovinomyces orontii;no;infected;single;150;96.4;9762027;10126719;Good
254;SRR8800695;Golovinomyces orontii;no;infected;single;150;90.4;13908243;15389851;Good
255;SRR8800696;Golovinomyces orontii;no;infected;single;150;90.1;7278918;8074936;Good
256;SRR8800697;Golovinomyces orontii;no;infected;single;150;96.8;2282577;2357891;Poor
257;SRR8800698;Golovinomyces orontii;no;infected;single;150;96.6;1359742;1407576;Poor
258;SRR8800699;Golovinomyces orontii;no;infected;single;150;96.8;6632681;6853015;Good
259;SRR8800700;Golovinomyces orontii;no;infected;single;150;96.6;6277804;6499382;Good
260;SRR8800701;Golovinomyces orontii;no;infected;single;150;96.6;6319093;6544596;Good
261;SRR8800702;Golovinomyces orontii;no;infected;single;150;96.8;2125347;2195060;Poor
262;SRR8800703;Golovinomyces orontii;no;infected;single;150;96.6;1194744;1236612;Poor
263;SRR8800704;Golovinomyces orontii;no;infected;single;150;96.8;5962554;6162088;Good
264;SRR8800705;Golovinomyces orontii;no;infected;single;150;96.6;8229143;8521213;Good
265;SRR8800706;Golovinomyces orontii;no;infected;single;150;96.6;2348324;2431973;Poor
