"","MEpink","MEturquoise","MEgreenyellow","MEpaleturquoise","MEdarkred","MEmagenta","MEskyblue","MEdarkolivegreen","MEdarkturquoise","MEdarkgreen","MEcyan","MEgreen","MEblue","MEdarkorange","MEsaddlebrown","MEblack","MEwhite","MEgrey"
"SRR8689390",-0.150442250991147,-0.0586146340401994,-0.121354939179193,-0.0748293698105894,-0.0377306600162971,-0.0118148127200044,-0.0395236305396094,-0.0175287287143343,-0.0217369453600006,-0.0117184891987534,-0.0131111447291761,-0.0146400894286965,0.0109913589546448,-0.028918210803314,-0.0805906728296481,0.0993732785315149,0.0208869661087194,-0.0097637564345624
"SRR8689394",-0.152369849839139,-0.0614485933222452,-0.110360193534403,-0.10104716818451,-0.0925053097878339,-0.0188979481860705,-0.0540586793816455,-0.0169618785215728,-0.0173928528049522,-0.0151015536341675,-0.0126131874740645,-0.0146325977875267,0.0236291796696462,-0.0179924913821053,-0.0778134035868433,0.0920842281779332,0.0211546683883765,-0.013368770287006
"SRR8689395",-0.148615092007996,-0.0626383751855314,-0.156503953719586,-0.0913479267696377,0.0124200118893787,-0.0166919260653512,-0.0271571301957624,-0.0195070427106065,-0.0233546084033071,-0.0189774793012069,-0.0140390619834276,-0.0181114790482953,0.0226814444487123,-0.0197982711730716,-0.0791077919709154,0.0876260744894572,0.0147460807889674,-0.013368770287006
"SRR8689396",-0.147214438802829,-0.0618393127318552,-0.167160559236975,-0.0929015735391077,0.025030606273818,-0.0139551041981826,-0.0260612944069952,-0.0195070427106065,-0.021160584798319,-0.0194264649458307,-0.0128226580026989,-0.0160716631698146,0.0222980402513115,-0.0204270048669541,-0.0781636116514794,0.0873657687180409,0.0149717715272937,-0.013368770287006
"SRR8689400",-0.0235361607781139,-0.0380501533673671,-0.128139697315017,-0.0926473052890036,-0.0487044236235665,-0.0114411667323241,-0.027044507741895,-0.0195070427106065,-0.0163974926086163,-0.0385832343935981,-0.0142811759686503,-0.0175337753037663,0.0682467001876884,-0.0254701544991917,0.0420540385151946,-0.0462630497426902,-0.00755873442218619,0.0161280667487799
"SRR8689402",-0.0224529908283701,-0.0387433209846986,-0.135522337336602,-0.0922257358064841,-0.0441009500271071,-0.0135098256481287,-0.0272449770987524,-0.0145711437923821,-0.0156812527379478,-0.0394769069091587,-0.0146809276333236,-0.0196166232360029,0.0687697660805167,-0.0289333677748216,0.0434098085854057,-0.0474566874169607,-0.00812304947487058,-0.0072832487313636
"SRR8689407",-0.0599814802494637,-0.0497158863782619,-0.172566942820831,-0.125419788048802,-0.0364206314010987,-0.00370980314314979,-0.0304786021534128,-0.0167241867195929,-0.0149793125584625,0.00510949236279605,-0.0124207200231063,-0.0213037783533779,0.0594389262367791,-0.0123732603184121,0.01009287026641,-0.0239771527070971,0.00914744492695703,-0.0265009412178378
"SRR8689408",-0.0583572810280408,-0.0494586474262969,-0.169977855329169,-0.124123143021199,-0.0560354879186511,-0.0119133097178927,-0.0313574697008299,-0.016162388233604,-0.0152148619507455,0.00490904181089887,-0.0143243671701053,-0.0192958821028585,0.0591716011164237,-0.0125547201594355,0.0128368415289597,-0.0226753196522788,0.0098576974892865,-0.0132440930855335
"SRR8689412",-0.0495275534843793,-0.0473359104903426,-0.104020414072415,-0.0796327380162302,-0.0478544948343272,-0.0135508810403431,-0.0179802159993296,-0.0122271064867332,-0.0177593152722431,-0.034651164089405,-0.0169790717065418,-0.023889999389886,0.0776298626437442,-0.0266899949930592,0.010879956022117,-0.05064131334053,-0.0170978314623921,-0.00754356436476727
"SRR8689414",-0.0494272124240024,-0.0460609611709247,-0.0959952500583865,-0.0826033318887721,-0.0616291407299599,-0.0136507980162013,-0.0274122632656981,-0.0185245162980928,-0.0191412370889803,-0.0337991022168238,-0.0143258562182975,-0.0206157517793783,0.0780498712909265,-0.0260109866880325,0.0160040996276342,-0.0507861962147204,-0.0154844951665145,-0.00446315748126544
