"","MEblack","MEblue","MEbrown","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkolivegreen","MEdarkorange","MEdarkred","MEdarkturquoise","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MElightcyan","MElightgreen","MElightyellow","MEmagenta","MEmidnightblue","MEorange","MEpaleturquoise","MEpink","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEskyblue","MEsteelblue","MEtan","MEturquoise","MEviolet","MEwhite","MEyellow"
"SRR8800683",-0.0707158625862548,0.0821528907772737,-0.15869926965918,-0.0195507745216582,-0.101279129411793,-0.0377021539137622,-0.0195070427106065,-0.0457229112069548,0.0153704950079234,-0.0345760710198325,-0.0352733741398019,0.00798989981314619,-0.013368770287006,-0.0771932971383318,-0.134528818387904,-0.123316373564882,-0.114420174558516,-0.0134096290770525,-0.0304301335712874,-0.0980173841206555,0.123678841213954,-0.083720919985979,0.080053247315954,0.133499947122856,-0.0861820522310719,-0.0641223112605551,-0.0962403744306699,0.109714244554595,-0.0138999219948002,-0.125139616537145,-0.0584345257014838,-0.0369837503564992,-0.109751177807776,-0.0319103678047548
"SRR8800684",-0.0678826664777328,0.0797537988941289,-0.153911633089031,-0.0175795431235762,-0.0893768938855471,-0.0339812958942151,-0.0195070427106065,-0.0462976131364467,0.0198822244708963,-0.0282876973932625,-0.0292506772464479,0.00910504443527652,-0.0263303718912647,-0.0659767803755727,-0.122944784798032,-0.119527335438038,-0.11360494809929,-0.00524922687974428,-0.0256797350731195,-0.0904848386912771,0.117947017472272,-0.0754586101081769,0.0776348945321279,0.128832699425905,-0.0868333656446167,-0.0499539035732923,-0.0926321552411903,0.110094756203532,-0.0160650537730229,-0.124189856634838,-0.0522880290700653,-0.0320122161281514,-0.103736410466624,-0.0274295462100967
"SRR8800685",-0.067057444440593,0.0803257281540256,-0.15371275267085,-0.0190323996322219,-0.0890895867809032,-0.0375723512276759,-0.0195070427106065,-0.0438011145870486,0.0218779252857087,-0.0267106525150276,-0.0304008376109233,0.0064151053271555,-0.013368770287006,-0.0676953179479371,-0.123467596893875,-0.122875314851726,-0.110024891098838,-0.00610484667907111,-0.0230632397312524,-0.0893112594109682,0.120161267112956,-0.074644039939636,0.0781194016739374,0.12854942004862,-0.0876743415463372,-0.0523964842915993,-0.0947472342623619,0.109794979025423,-0.016564701366134,-0.128048926987561,-0.054033531513017,-0.0285706990323121,-0.104616055921991,-0.0313752203214381
"SRR8800686",-0.0672273866132052,0.0800075369212259,-0.152706261643298,-0.0168103399257913,-0.092433189904084,-0.038293590480912,-0.0195070427106065,-0.0473872491340179,0.0203325677328609,-0.0269317197336588,-0.0298500595007265,0.00902955202303888,-0.013368770287006,-0.0690437581523188,-0.125299013436006,-0.122926272364061,-0.110000197841483,-0.00398634517684506,-0.0234326345554822,-0.0863914223373227,0.124355770021405,-0.0750275327403824,0.0799462587300237,0.128219224210617,-0.0879752437032565,-0.0518648814924027,-0.0921997349204743,0.112790502043019,-0.0178570778739776,-0.124629465882909,-0.0532312818354926,-0.0279816696680538,-0.10903032628468,-0.0298421232015244
"SRR8800687",-0.0554984964874798,0.0779874253775579,-0.151359508643135,-0.0196035153072123,-0.080967379781588,-0.0323904523478444,-0.0195070427106065,-0.0446230293089752,0.0191495946184239,-0.0308358373967892,-0.0347605258070204,-0.0168874567328991,-0.013368770287006,-0.0624824148697667,-0.118144018595646,-0.121558399766535,-0.099067045248814,-0.00714565402594878,-0.0227715833759855,-0.0702751848627209,0.129680621426686,-0.0964972170025037,0.0720770130633602,0.128064035281514,-0.0773538221597628,-0.0655514018681081,-0.0773728102972558,0.1153800520289,-0.0420047187876611,-0.125255695021284,-0.0608525834320115,-0.0306278160023816,-0.11027837663796,-0.0370980125805506
"SRR8800688",-0.0565757236052869,0.0787116944858682,-0.156610507586045,-0.0196941556100939,-0.0917288464968057,-0.0365507442647361,-0.0195070427106065,-0.0490187292822146,0.0277877534804902,-0.0341879666939718,-0.0351053486718949,-0.0216690309243014,-0.013368770287006,-0.0619643229244342,-0.120381450354688,-0.12118360157713,-0.0993209319038168,-0.0078779067980973,-0.0218227492760078,-0.0751199846752125,0.119950101434628,-0.100052921529061,0.0732664299553957,0.12630960618603,-0.073256261356168,-0.0698717700029587,-0.0766981667630836,0.11766206219203,-0.0386006284990928,-0.120888898906661,-0.0639108503806924,-0.0332027146159372,-0.119496707554794,-0.0376292227214457
"SRR8800689",-0.0525080916981558,0.0756669058740587,-0.148002764111589,-0.0185370044043785,-0.0801875183155537,-0.0334526819022369,-0.0195070427106065,-0.043370863827474,0.0241350248075582,-0.0265263770612667,-0.0300750070574691,-0.0128391970598918,-0.00598094327220054,-0.056811994409503,-0.113220590944297,-0.114109514247254,-0.097598711281041,-0.00202924921657954,-0.0179386748898004,-0.0702629450119545,0.117151703205336,-0.0871664305078246,0.0730119159548518,0.125237279785659,-0.0703105302913452,-0.0572714088701654,-0.0721663941796016,0.108805294628121,-0.0297370959896463,-0.115812251186817,-0.0559949145824917,-0.0280838990223705,-0.104649250379342,-0.0328189573491265
"SRR8800690",-0.050498604792987,0.0746124740902816,-0.149588280434435,-0.0165658674242509,-0.0785793026175715,-0.0337322110448657,-0.00705499253638818,-0.0432526236816974,0.0236602437029765,-0.0267301787596025,-0.0296487641450834,-0.0157283078012517,-0.00665428520235882,-0.05939229302808,-0.111856434918593,-0.117776203739387,-0.0992574776654615,-0.00393334214828651,-0.0167386347676178,-0.0716757794848993,0.114645487847188,-0.087109700808747,0.0721632299338757,0.12500681999648,-0.0693427090376969,-0.0562156763960001,-0.0733425023634504,0.107830558891389,-0.031444001867029,-0.114886954369132,-0.0555748639494849,-0.0256567441234125,-0.104118870692981,-0.0317999420104984
"SRR8800691",-0.0531224070037634,0.074791689470677,-0.148316280755906,-0.0157850195833383,-0.078904415653046,-0.0349318229643997,-0.0195070427106065,-0.0432378351683577,0.0231561468602602,-0.0269049861231073,-0.0296722549289973,-0.0172447099896066,-0.00916097799932069,-0.0582946664836344,-0.110814956573123,-0.116308837045061,-0.0998831949857102,-0.00177552501455244,-0.0189167128581299,-0.0753913581517372,0.117448616744523,-0.0884637889697122,0.0743718840041699,0.124962940934986,-0.0736187916717318,-0.0572878735789501,-0.0728293221641941,0.113946449990794,-0.0273822549429275,-0.116012194460982,-0.0569562787407505,-0.0303606397967087,-0.106946596415067,-0.0339215917819409
"SRR8800692",-0.0479714831137419,0.0735457142779638,-0.141930690100542,-0.0150306474856914,-0.0717770515606648,-0.0262969818671443,-0.0149371445564908,-0.0480140249385533,0.00563688695976704,-0.0219025214401137,-0.0251364404177082,0.0194240230140004,-0.00615858903840043,-0.056188940382036,-0.105539119638959,-0.110705204518244,-0.0996853846378182,0.00641463656189159,-0.0134337985857195,-0.0749781877976391,0.105923850293489,-0.0695246145653851,0.0769578917771111,0.119258291219572,-0.0613691533757484,-0.0372222422184715,-0.0763746590209314,0.0967170115320077,-0.0324764076036871,-0.120798745344234,-0.0490553560501236,-0.0193174703030654,-0.100183632081302,-0.0312928632353188
