"","MEblack","MEblue","MEbrown","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkorange","MEdarkred","MEdarkturquoise","MEfloralwhite","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MEivory","MElightcyan","MElightcyan1","MElightgreen","MElightsteelblue1","MElightyellow","MEmagenta","MEmediumpurple3","MEmidnightblue","MEorange","MEorangered4","MEpaleturquoise","MEpink","MEplum1","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsienna3","MEskyblue","MEskyblue3","MEsteelblue","MEtan","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellowgreen"
"SRR8689408",0.0622349127891982,-0.0456479231761492,-0.0460264547982465,-0.0186134658193098,-0.0105109680682088,-0.014024730651642,-0.00857885126308576,-0.051809628155833,0.00223190118436341,-0.00345585940405251,0.0166696452676288,0.101247234543381,-0.0407171702053123,-0.132980881879166,0.0246829085495241,-0.159235709763007,-0.0152334948250928,-0.00120084440120639,-0.08442439751622,-0.0835735980882646,-0.0147186009332294,-0.169642468446084,-0.0078743799191887,-0.0598919688340334,0.0176498589847143,-0.0299602925285285,-0.0142117117117653,0.0951331611148029,-0.0551562454677767,-0.0163578650885394,-0.0310229199934589,-0.0194219547528229,-0.0514072604775621,-0.00436862576763315,0.0598080230632037,-0.0331382892452685,-0.00290909309865838,-0.0108815785750725,-0.0176511698107193,-0.0395494154460482,0.0586822138652203,-0.016281809645224,-0.0156781382347662,-0.00996092880020952,-0.118827120115322
"SRR8689412",0.0752639167928432,-0.0365237558767149,-0.0482370186554214,-0.0193939430450834,-0.0178527003097795,-0.0173398981249041,-0.00330742192955939,-0.0631473040587167,-0.032477713666512,-0.0515467227566914,-0.0149661444460943,0.0978515935590343,-0.0405742638285652,-0.0854921640932807,0.0220579723679276,-0.109323512421296,-0.0204539138876104,-0.0258800819097,-0.0734351692097649,-0.0956846079391535,-0.0169442102045846,-0.0982054390790453,-0.0262572265749182,-0.0667183256084371,-0.0331926671128664,0.000172041122404505,-0.0124207487378626,0.079723814902715,-0.0505772272399199,-0.0201437143908659,-0.0234752970118938,-0.0230766643446954,-0.0411514894060843,-0.00206545901463152,0.0258649985559764,-0.0211576860683398,-0.0249480205213636,-0.00380766345583691,-0.0574449841446166,-0.0603396381479704,0.0767631299033048,-0.0235853719255288,-0.0297993176211775,-0.0340280368499437,-0.076586814344813
"SRR8689414",0.0764931710880057,-0.0354436455644509,-0.0483333297108158,-0.0175297684165502,-0.0126626615745625,-0.013768909463371,-0.00395903328897419,-0.0612624653908441,-0.0331984704541175,-0.0522051099886734,-0.014053632155016,0.0971921118626558,-0.0392842662203233,-0.0883091498706291,0.0350249573315811,-0.103501206724923,-0.015834139549911,-0.0241331395216503,-0.076886108130925,-0.0923684537607989,-0.0145125233987794,-0.0932220064792244,-0.026043646056005,-0.0641892388632849,-0.0337788325280115,-0.000995741216456439,-0.0137431317351632,0.0791526653470205,-0.0503004952395039,-0.0164503873912996,-0.02130074267489,-0.0209625037037339,-0.0571884953351572,-0.00728637221614591,0.0293682364687305,-0.0280912710179971,-0.0235404798249473,-0.0100184863154008,-0.060332191271341,-0.0594635708756479,0.0767239548090517,-0.0238607472185674,-0.0285676974777914,-0.0326461943015988,-0.0782593500335622
"SRR8689388",0.0374712953657496,-0.0610982727391792,-0.0627630211444996,-0.0114893657035802,-0.0171233451106548,-0.0162793196732138,-0.0922143095507239,0.049296239911632,0.0695173902274341,0.0895782417904173,-0.00352337105607929,0.0540927419914087,-0.0499676671153842,-0.0736608913453481,0.0485001466661803,-0.126453432190612,-0.0169806544843738,-0.0323694091559972,0.0616786347544088,-0.0509726632482257,-0.0190770270870197,-0.1447951717772,0.103342261542837,-0.0900805735928402,-0.0010132775948769,-0.0306933415504799,-0.0131765409618456,0.0323223920908215,-0.140539227737143,-0.02915698182507,-0.0218307859517479,-0.0107150305529408,-0.0253437221750899,-0.0292316190019682,0.0510717589428196,-0.0469990625889357,-0.106984257920848,-0.0253903632087522,0.0480295005320312,0.0921582050692423,0.00495937722876385,-0.0219398749408461,-0.0402653121424246,0.0376079021035981,-0.142834526027856
"SRR8689401",0.0666471991142701,-0.0301965171872854,-0.039258939750016,-0.0123422399194216,-0.00565786411913673,-0.0135961268127794,0.0280559571166857,-0.0529261709959197,-0.0257951246663362,-0.0474246611552615,-0.00917151291529859,0.102577796427066,-0.0373577182776488,-0.105410301293179,0.0381808636873151,-0.117151683881845,-0.0154971516357576,-0.0246299584695636,-0.0605626672534988,-0.0792657557278677,-0.0166270128895906,-0.114850538172784,-0.0198983317626447,-0.0568252579084865,-0.0393675855925636,-0.00745466862622429,-0.00853823926326023,0.0759724128517395,-0.0263375250803994,-0.0185206663776477,-0.0164296076356009,-0.0181260021606053,-0.0785199743876645,-0.00439834004034474,0.0317630511027831,-0.0335611300599792,0.0222709293630533,0.000344666732484432,-0.0573734854860966,-0.0577459463727196,0.0685809251763589,-0.0189926775529623,-0.0234153960058584,-0.0177264180551375,-0.074564976836183
"SRR8689406",0.0621777432633985,-0.045070231434081,-0.0468845404134459,-0.0170765890506103,-0.00637704278657489,-0.0134539008560659,-0.0100296549743897,-0.0516326138993581,0.00615835429343933,-0.00508623876686566,0.0173036959791522,0.101145192729691,-0.0391796323611432,-0.133756876069748,0.027265117023499,-0.151464578140507,-0.0128935932847898,-0.000646981175835038,-0.0823938670029085,-0.0851320699515783,-0.0143809457824253,-0.164751028641113,-0.0083899773578907,-0.0603694277449026,0.0190179719732818,-0.0253775057834271,-0.0104976076211547,0.0943174076879985,-0.0548250500577727,-0.0164785989342075,-0.0298503950524439,-0.0189996895033878,-0.0725902179679874,-0.00579358647690653,0.0602223341415837,-0.0297429210000302,0.000835204012034601,-0.00939505083751297,-0.0186811900822181,-0.0396380456177354,0.058745395831355,-0.0165449254697423,-0.0137217391296395,-0.00971836611817276,-0.117814556191467
"SRR8689413",0.0761795698066625,-0.0363730575486328,-0.0478824481747952,-0.0164061418136842,-0.00825784076373046,-0.0131858350252374,-0.00146393500960362,-0.0602897708382328,-0.034071945004487,-0.0534916737451657,-0.0155354645593176,0.0986198481821205,-0.0399438564335131,-0.0904419319427101,0.0395635650484587,-0.0986951639695804,-0.021362518823827,-0.0231477870025318,-0.0742604812385611,-0.0927928944992823,-0.0187164015831755,-0.0918243850005859,-0.0236373544484296,-0.0656156579367214,-0.0329157391079071,-0.00275562213408922,-0.014185884222071,0.0787418315792626,-0.0497176571689952,-0.0188699411631495,-0.0213810151277031,-0.0204756696977702,-0.0672481836383376,-0.00740499825060887,0.0280397154377545,-0.0235641932456799,-0.0222468193188312,-0.00652087292500201,-0.0594483208733002,-0.0584889498692942,0.0763683698185563,-0.0224158819133717,-0.0290278487509457,-0.0300017191934711,-0.0771273005283565
"SRR8800677",0.14445128564423,-0.0390070882448396,-0.0505876023006994,-0.0236391608305769,-0.0400303039179414,-0.0187842678445438,-0.063110142768169,-0.0859437633275908,-0.0873071659039784,-0.129989845841927,-0.117697145590811,0.0649797722570768,-0.0499875998202591,0.065566735152482,-0.0787510961597422,-0.00449017658059832,-0.0256146782533642,-0.0263096140546725,-0.138722832125581,-0.098749733304482,-0.0203212456622644,0.0394744080092544,-0.0830076351014301,-0.0955587780105381,-0.0904247605334532,0.147119651265752,-0.0169325720025783,-0.0546741846070032,-0.0761979783756904,-0.0342654647689857,-0.0262320715295492,-0.0324908797543635,0.0290991085870613,0.0293986265504852,-0.148546129232894,0.12558358617178,-0.030565248755464,-0.0327029211335622,-0.0986977923921348,-0.106649787684551,0.0969845504419454,-0.0318707455753568,-0.0692579146609864,-0.178753406351399,-0.00037190440272898
"SRR8800678",0.142717395655857,-0.0406576120270898,-0.0489437658243675,-0.0208908692810396,-0.0448107614765715,-0.0188110775507803,-0.0650553072588097,-0.0842844142212786,-0.0928647245475724,-0.13229087931324,-0.117305769810424,0.0664201157012157,-0.0500936802107457,0.066136353223562,-0.102639766298813,-0.000427572595327918,-0.0230146536993091,-0.0251651183346699,-0.137341939396256,-0.109550665959988,-0.0203212456622644,0.0440283304218065,-0.0818360312084946,-0.0888457197564015,-0.0934715368880072,0.154111941897211,-0.0144243149838219,-0.062479662318307,-0.0817901399989754,-0.034308924131927,-0.0318171557063404,-0.0350217463451696,0.0280852990806539,0.0396241292155988,-0.146885099878663,0.130642178257101,-0.0291702207724292,-0.0241578061011303,-0.105066136808483,-0.107549747757061,0.0994709680465131,-0.0306653107037191,-0.0704815968416724,-0.179727215041393,-0.00930683134403808
"SRR8800679",0.141192549902653,-0.0338813048473911,-0.0407022976006309,-0.0164976219537462,-0.0398484455725264,-0.0151335304118736,-0.046887822213803,-0.079154478141002,-0.0838485582268892,-0.124307652235603,-0.11364003454611,0.0639879839855022,-0.0460046380595481,0.0677622056282058,-0.0649701581205126,-0.00103168130379985,-0.0200142267431545,-0.0218578344961211,-0.136845581305724,-0.0970869944749502,-0.0189873481412905,0.0422663643775526,-0.079218911041998,-0.081516994335287,-0.0864171758840849,0.147783666194281,-0.0153048855410773,-0.0540573398504037,-0.0675405748616509,-0.0305332019156199,-0.0277827527492689,-0.0300715418910559,0.03640491949109,0.0354414733582504,-0.142629902906155,0.123797929297755,-0.0188236651206813,-0.0207129039653242,-0.0985555743352678,-0.101869160785034,0.0949428803574579,-0.0259168749809769,-0.0683393707879317,-0.170882832436509,0.000252083218691983
