"","MEgreen","MEviolet","MEblue","MEdarkgreen","MEpurple","MEblack","MEcyan","MElightyellow","MEdarkmagenta","MEskyblue3","MEyellowgreen","MEdarkgrey","MEdarkolivegreen","MEorange","MEdarkorange","MEpink","MEtan","MEyellow","MEgrey60","MEskyblue"
"SRR8800705",0.116958957694264,0.0971378721154026,-0.0617811540163392,0.0852231612949455,0.00574649959054011,-0.0531564345896862,-0.13311074098512,-0.0625020653247306,-0.029677624308394,-0.0135870302792892,-0.0643326359639467,-0.10282185108813,-0.0542883516232107,0.0361060299481255,0.111062113280861,-0.00614496334822789,-0.0178496733826081,-0.0303550605158949,-0.0680389452712922,-0.0462924266002517
"SRR8800706",0.117099624392702,0.0984914930313718,-0.0651225302094646,0.0859797724614442,6.34091284656315e-05,-0.0551045030366416,-0.135660346043209,-0.0664452067125425,-0.0307113909285549,-0.0173801589728884,-0.0691203796241035,-0.0978766847455947,-0.0615775563578827,0.0372749262992605,0.111701129804648,-0.00775146499787959,-0.0180934777774109,-0.0334022352774141,-0.069979551791548,-0.0472448081036927
"ERR9604272",-0.0690449741448081,-0.0286514359187532,0.124364147311408,0.11275756973973,0.0336707184333529,-0.109857025949436,-0.030088332785178,-0.0685669070332056,-0.0167356132483744,-0.00103793843233552,-0.0419128445901376,0.00885313716187065,0.0798151113718052,0.0496344120609146,0.0506827404949569,-0.0262260907944939,-0.00879709339148423,-0.0190235931278924,-0.0593339774487523,-0.131817479584616
"ERR9604276",-0.0670427183611236,-0.0193438588869144,0.125010846991605,0.124807412136135,0.13349095857238,-0.117442938026532,-0.026749391224975,-0.064495511762226,-0.00771683975182407,-0.00418514449650683,-0.0390539132853485,0.0220180534760933,0.0838412838609612,-0.0907630925602906,0.013452395997786,-0.0255914302309259,-0.00500702497054218,-0.014788616188542,-0.0642689078865213,-0.152893152398835
"ERR9604277",-0.0673066423684302,-0.0176027781178736,0.123054713373035,0.121972091266825,0.100039877740601,-0.115260311542127,-0.0267013365045543,-0.0619273526685342,-0.00576853959553701,-0.00389674628392079,-0.0368201584548866,0.0216769491785871,0.0817728411614024,-0.0395205306897825,0.0296376632288644,-0.0241812883173674,-0.005632216239374,-0.0146437319032697,-0.0642064380271116,-0.147398089487789
"ERR9604278",-0.0703319033029255,-0.0189413965716861,0.124538152227646,0.122914867622765,0.0833849845516619,-0.114804275535757,-0.0260022239249458,-0.0629833361984607,-0.00037443292711184,-0.00445002614344101,-0.0406778638784303,0.020613830023779,0.0822810088601811,0.00279609074001967,0.0400773109121138,-0.0247940930243037,-0.00490783368338179,-0.0159707590534092,-0.0624307173769993,-0.146159975926933
"ERR9604282",-0.0675481574357227,-0.01622898884056,0.117588681566143,0.120101257574757,0.100841283233785,-0.104302571638215,-0.0178874268874582,-0.0571744688027172,0.000388123900934994,-0.0125756005102557,-0.0321098226842982,0.021711091444859,0.0960704328660692,-0.0192451177155313,0.025325712157918,-0.0210940287418796,-0.00447179980996871,-0.00976503691519896,-0.0521734533849218,-0.120212356693791
"ERR9604283",-0.0657838228192889,-0.0357454327216336,0.118830625458624,0.100934288421597,0.0508397824326273,-0.102871508380906,-0.0270517859047358,-0.0643074978351718,-0.0169689078907244,-0.00415636762004254,-0.0436374891453294,0.00599467952207063,0.0714516753026871,0.0224434641889801,0.0423177625042374,-0.0218123597657647,-0.00584392706394237,-0.0162101608450594,-0.0570998124394084,-0.128576808079575
"ERR9604284",-0.0687248238451836,-0.0168579857232393,0.118469630944836,0.123158946622736,0.0976441438583151,-0.102940052052085,-0.0168715206604287,-0.0566047206158435,-0.00519019860573858,0.00159525884311144,-0.0291892817718229,0.0187324698192673,0.0955288614601236,-0.000592269103423634,0.0295191262883512,-0.0226713175027932,-0.00166185987260957,-0.0110453294309719,-0.051563062058811,-0.121461119908267
"ERR9604285",-0.0698485075698893,-0.0172506000284864,0.119105342011535,0.124274096642655,0.090898047244245,-0.102786702609009,-0.017025074358694,-0.057408325242594,-0.00205562740726523,0.000598106652913458,-0.027858822545157,0.015635937549932,0.0945579934539753,0.00994170053404022,0.0325904301082207,-0.0213099602986375,-0.00317061351704468,-0.0103377126078801,-0.0508497720783557,-0.120693703296508
