"","MEblack","MEblue","MEbrown","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkorange","MEdarkred","MEdarkturquoise","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MElightcyan","MElightgreen","MElightyellow","MEmagenta","MEmidnightblue","MEorange","MEorangered4","MEpaleturquoise","MEpink","MEplum1","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsienna3","MEskyblue","MEskyblue3","MEsteelblue","MEtan","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellowgreen"
"SRR8689390",0.102758818933069,-0.0585631960984672,-0.0549989146492298,-0.000419555008971279,-0.0389033517333483,-0.0128675884380801,-0.0425336146275394,-0.0931312094485467,-0.0308259113497352,0.0508280677702771,-0.0372061141204297,-0.0344091627018782,0.0725766653307234,0.0197317661768032,-0.0243918135659428,-0.117285129029118,-0.130610961181419,0.00835335652356291,-0.0423275801891135,-0.0830809460568566,-0.0167162953224572,-0.019147530770397,0.00464673371246208,-0.136890625212565,-0.0224471363925338,-0.0189883835630877,-0.0138044185931112,0.0748299078316322,-0.0269636298781247,0.10485172083466,-0.0244992250375145,-0.119223728495159,-0.143747060768567,-0.0210660860531679,0.0513367674502304,0.0154655997842026,-0.0405692858745154,-0.0400530302483405,0.0277839004898973,-0.00970882292637531
"SRR8689394",0.0964922613609775,-0.0635048778784464,-0.0555137504252719,-0.00638023306481215,-0.039579702366737,-0.0134504672822601,-0.0550756357621093,-0.0918288630309387,-0.0219739202840673,0.0389014082308993,-0.0421296392799021,-0.0460427238900651,0.0669254807941567,0.0270118797389572,-0.0274533075584632,-0.0962644021611678,-0.131619558817218,0.00602278592146008,-0.0389874657772493,-0.115632467645859,-0.0359974541661724,-0.0205195283004206,0.00293186133055853,-0.137570409413582,-0.0148992541642354,-0.0146340343281459,-0.014165733319797,0.0696695555442548,-0.0392589143791632,0.0964205048413444,-0.0194869728550054,-0.118441403257074,-0.171937635779835,-0.0171412692494812,0.0648089529680405,0.0290681925846621,-0.0425051664611863,-0.0967189734866434,0.026936433557326,-0.00858872637803979
"SRR8689395",0.0961011900765044,-0.0605913539952094,-0.0590340698763959,-0.00731748766767034,-0.0325276124591607,-0.0150337071176696,-0.0292737127498061,-0.0933564822915639,-0.0216946443676831,0.0422689053762536,-0.0412469644046658,-0.0434049612486081,0.0534958167525297,0.0116281176267385,-0.0314793830333294,-0.147459389767867,-0.1642558441133,-0.00285907489260279,-0.0448167336172981,-0.104550515594644,-0.0354259218387939,-0.0205195283004207,0.00951727847256722,-0.134925990188543,-0.0171689910268697,-0.0232444766678645,-0.0168420384903606,0.0630963423171109,-0.0293252506922719,0.0891772032236261,-0.0315213293041346,-0.120208723252042,-0.172033344978795,-0.0198523117860622,0.0550570557581211,0.0263449482790222,-0.0409173580074469,0.0154568516852902,0.0179567105729703,-0.0128169870161229
"SRR8689396",0.0966511538176313,-0.0592929535265587,-0.0591381939632634,-0.00742189137174449,-0.0322728306478183,-0.0152220769664011,-0.0297900318619188,-0.0904262917216148,-0.0227032995701022,0.0407283185636171,-0.0440063537525453,-0.0422441774747674,0.0542983980287476,0.0187482682473569,-0.0331516001254989,-0.160060610303321,-0.172636016402323,-0.00187224066138736,-0.0451872700080922,-0.107984308543922,-0.0338412399865572,-0.0170503147205832,0.00684264913428035,-0.133944047741677,-0.0208942513412655,-0.0231981989473392,-0.0148063025692197,0.0633846754371374,-0.022238005442639,0.0897852126612859,-0.0262832541095699,-0.118288685316801,-0.167511818601084,-0.0208397785704387,0.0567949877172431,0.0258898902820089,-0.0410998664943158,0.0293841344720949,0.0169109569814907,-0.00847122333395107
"SRR8689400",-0.0149152160789318,-0.0312711303058704,-0.0351607224884394,-0.0184599201370448,-0.0160835851973478,-0.0115551699182503,-0.0276241814679188,0.0085209047292239,-0.0141370451928492,-0.0637462337127435,-0.0264143016950872,-0.065273119025815,-0.0652713706041299,0.0271496336046833,-0.0275635472740158,-0.129887514991803,-0.124450377416939,-0.0451942553004801,-0.075667907014472,-0.105176615823254,-0.0207875614649132,-0.0205195283004207,0.0787309349397697,-0.0288927851725925,-0.0164599529429006,-0.0226023505857127,-0.0169799663846488,-0.0686197603843303,-0.00585428937202141,-0.0535837579371362,-0.0032781823828349,0.023247281084728,-0.0654652223993763,-0.0193588114549496,0.0273148158443867,0.06397916242601,-0.0212520725039682,-0.0424841204260427,-0.016025699709944,-0.0175299959259034
"SRR8689402",-0.015962107087503,-0.0317260931457508,-0.0364853823335079,-0.0219504320361518,-0.0179581566308141,-0.0146689812897708,-0.0263736834009443,0.0141797109724224,-0.0144779486878286,-0.0599010590574391,-0.029605191481269,-0.0659129758601386,-0.0662664941359277,0.0169929187665227,-0.0285723279953451,-0.136169216017946,-0.130317792609515,-0.0439438221616818,-0.0772897999100094,-0.103672412448104,-0.0205175081381421,-0.0138023938457701,0.0779511334195278,-0.0281586250080681,-0.0152163003045085,-0.0207159529236546,-0.0184056282608697,-0.0682385929173152,-0.00796748746747009,-0.0553858083973644,-0.00407308929572589,0.0219665551692071,-0.0644701224966705,-0.0153370253446551,0.026026580575893,0.0643200681799878,-0.0241228450996816,-0.0405261344624757,-0.0175047951303588,-0.0144531433993678
"SRR8689407",0.00630309118855048,-0.0457139559080103,-0.0432561144184012,-0.011632814780902,-0.0372157287880653,-0.0117852761514163,-0.0297657212934313,-0.0255424847349319,-0.00612947600284491,-0.0172436466260802,-0.00635808159976585,-0.0640514856114807,-0.0494754809381077,-0.00521940197592281,0.00936731392607768,-0.162004789750454,-0.176110736843683,0.0137127369359922,-0.0795631167848623,-0.137070931000611,0.00141212520331804,-0.0178946443613684,0.0888812679742255,-0.0578018004849212,-0.019261237331839,-0.0304590311444223,-0.0203344990324028,-0.0561649797899853,0.00420930595521462,-0.0334990095426807,-0.000545331981222871,-0.0101771210242509,-0.121121947437529,-0.0181945183480643,0.0567384544486822,0.0567356270152,-0.0187243585861912,-0.0292640478766881,-0.0074579456174882,-0.0119942525246316
"SRR8689408",0.0070117741092734,-0.0462767945402465,-0.041787258669316,-0.0200377656806215,-0.0398352894112259,-0.0129030058823305,-0.0306367958279481,-0.0222468925672761,-0.00548038461789511,-0.0176491607722175,-0.00804231039864919,-0.0629715660384065,-0.0469268450709376,0.0126990182731945,0.00870969760621534,-0.158211823603014,-0.172672574948445,0.0125630251714148,-0.0782341475455773,-0.136379303890831,0.00280814030804154,-0.0150219219572005,0.0876587584608373,-0.055790969118921,-0.0176895838340368,-0.0322209444013591,-0.0187038708797769,-0.0519446662441327,-0.00777859366758358,-0.0332831887441412,-0.0109290373423466,-0.00529199843456444,-0.117774916163391,-0.0154255370864083,0.0573289650820544,0.0569294364662755,-0.0187520831147715,-0.0521757515753135,-0.00713031942030432,-0.015727114085738
"SRR8689412",-0.0193761093898156,-0.0388099848417346,-0.0431500168286275,-0.0209176898365916,-0.00759623109340661,-0.0181267815325491,-0.0167492569301507,-0.0185575918758962,-0.0200854577025681,-0.0633007864137419,-0.0301494932170709,-0.0763745640052984,-0.0726402137572,0.00706857435368949,-0.0234944888769052,-0.109678643277585,-0.102308151590802,-0.0391530008270462,-0.0867657288285169,-0.0902662177401917,-0.0260510596017689,-0.0144082588620919,0.080322924245241,-0.0541165057540297,-0.0221868349310077,-0.0256814344296477,-0.023554335442627,-0.0768443908557812,-0.00407552788869437,-0.0552833214772958,-0.00275948995102455,-0.0236400738809548,-0.076053555448113,-0.0218636896361884,0.0241205081767686,0.072375467627854,-0.0265318553806061,-0.0357535747077001,-0.0293782361452707,-0.0136769442174788
"SRR8689414",-0.0195224300910203,-0.0376993623119165,-0.0421495411666448,-0.0201131232617814,-0.0108191058346349,-0.0148147828483706,-0.027735372873625,-0.0172553013538194,-0.0179637757360992,-0.0643022706660133,-0.0305995988524242,-0.0758591044330361,-0.0712747469676254,0.0309347410991891,-0.0237322706097762,-0.102874419242895,-0.0962135963571629,-0.039003965159479,-0.0837395292307974,-0.0933479261123934,-0.0269154730948515,-0.0148174244110015,0.0786153948814454,-0.0529265593217032,-0.0150649142486767,-0.0245331185829097,-0.020794656594177,-0.0777623093313224,-0.00638348732707145,-0.0546555328856941,-0.00787068592165708,-0.0224608559889763,-0.0782004230566312,-0.02288234528002,0.0264014870824615,0.0731424423082874,-0.0243755625006662,-0.0532854082116072,-0.0278137960338242,-0.0148133817485637
