"","MEblack","MEblue","MEbrown","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkorange","MEdarkred","MEdarkturquoise","MEgreen","MEgreenyellow","MEgrey60","MElightcyan","MElightgreen","MElightyellow","MEmagenta","MEmidnightblue","MEorange","MEpaleturquoise","MEpink","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsienna3","MEskyblue","MEskyblue3","MEsteelblue","MEtan","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellowgreen"
"SRR30310366",0.0365589496752535,-0.0245059968060177,-0.00798593771909852,0.0118367112720151,-0.0194432189372213,-0.0137035592385871,-0.0134997242254751,-0.0116539288731439,-0.0111827344214198,-0.0588102622488609,-0.00839076951481445,0.0120198389001276,0.0140305876948233,0.0762474867811597,-0.00347456560128552,0.00460219481104964,-0.00768868557958685,-0.00197326163367965,0.0487264280436886,-0.0397065046699678,-0.02688640981758,0.012290160583973,0.0377382526453552,-0.00637496553344769,0.0408729420833989,0.00983344684603852,0.0429023208700917,0.0133654898931706,0.0560000626501847,0.00671733389271885,0.0096152360755872,0.0333039885745907,-0.000200508547336677,-0.0156509754499856,-0.0116870944772996,0.176114273630582,0.0655586968993304
"SRR30310367",0.0418113084883835,-0.024497218877581,-0.00242601211271142,0.0205349669614005,-0.0184662498301957,-0.0146981531162655,-0.0139678829691861,-0.006134875544553,-0.0192140154227648,-0.0561779904546559,-0.00462022325820379,0.00287592997169272,0.0207016163496056,0.02659131238542,0.000175122485059048,0.0126392020538668,0.00144344792437234,-0.00141978001219021,0.0086147295864643,-0.0185541248880262,-0.0289019544309827,-0.00385052646274691,0.0292659588180716,0.00512700991373216,0.0243674582570981,-0.00537833573152764,0.0438361580333075,-0.00502851093668593,0.0376593248310526,-0.0041625150613632,-0.00683715011549842,-0.00417042433445857,0.00322607945701088,-0.0194695746713847,-0.00725955961083675,0.078153020194296,0.0671887630293538
"SRR30310368",0.0468737744649109,-0.0284466556045251,-0.009943059849552,0.0231196172456573,-0.00870174714435522,-0.0339446294573265,-0.0178920924039152,-0.0093525504990216,-0.0125409955028025,-0.0638561604227079,-0.00312500868682148,0.00787113070547868,0.0254330470252455,0.0130092966072404,0.00433754515439328,0.0131179753036656,-0.0108841334662461,-0.0101595841182138,-0.000393149205193858,-0.00868650606552214,-0.0387831766548336,-0.00229217428201917,0.0212305946718148,-0.0103462228201608,0.0206595804529419,-0.00877912881955996,0.0451728242774837,-0.00643604438902692,0.0340244586530903,-0.00783320388692199,-0.0130114960310742,-0.00389427459139886,0.000283081550459862,-0.0274584988702681,-0.0218386553060008,0.0523924410552511,0.0459767121900942
"SRR30310369",-0.0215193420031141,-0.0341523617367793,-0.0481973907344728,-0.051410187547653,-0.0281178407701313,0.00969750944616803,-0.0182848534531058,-0.00320377754608807,-0.0276752588365829,-0.0798843848112105,-0.057048525350374,0.0695575641514675,-0.0616294448129459,0.0479238405536485,-0.0428966617145753,-0.0410601062183999,-0.00923175361871253,-0.0162817076850514,0.0258359209659712,-0.0498975725664901,0.00145937180457792,-0.000643648679632643,0.0174607806215082,0.00537630208050625,-0.0222631739815815,-0.0111779666794603,0.0169799195863,-0.0145602473554731,0.0231576208112857,-0.0173801589728884,-0.030959650280903,-0.00982737176821614,-0.0489988216247966,0.0532581341955624,0.0313554673182879,0.0241133032578321,0.0355878972864105
"SRR30310370",-0.0222840526137252,-0.0297629508550402,-0.0393984821671545,-0.0437218646353873,-0.0216203245905489,0.0157747728333412,-0.0172942887627715,0.022706632280619,-0.0223886125115636,-0.07536879354268,-0.0608396706710094,0.0595852573244542,-0.0559205729203092,0.0799919640576556,-0.0330418159845777,-0.0422997714852174,-0.0136892392320534,-0.0204734186403045,0.0554982389057394,-0.0421259739382142,0.000209916677130425,-0.00136257324471457,0.018730942191533,0.0212552923635023,0.00381690503397202,-0.00598256824932528,0.0145783133140082,-0.0136470004131751,0.0387278773332379,-0.0173801589728884,-0.00258873977036756,-0.00755298960829084,-0.0415413613380547,0.0579582375528925,0.0515055683951662,0.0229450261330921,0.0695860393680251
"SRR24657655",0.0813433000782075,-0.00383529864788971,0.017978753485065,0.0681246791608698,-0.0273628214314992,-0.0379568956128561,0.047687903249873,-0.0203088518279178,0.117342653945528,-0.014076360925579,0.0238577711779542,-0.0245117916319561,0.0689097562494363,0.0960735849276373,-0.00967440196704813,0.0449051654556337,0.00761064394782255,0.0148713397861781,0.0833356451205859,0.125515936151466,-0.0191860036345022,0.362092358922048,-0.0213055505235754,-0.00299820725526697,0.0950995120237967,0.0706228324491556,0.0754577359261739,0.0764843390050526,0.0957260342582439,0.345173490268416,0.0561826281417808,0.122777254407338,0.0431794667752249,-0.0447557673856384,-0.031947196634569,0.14990319461132,0.0724434177034992
"SRR24657656",0.09646828201146,-0.0228538963840196,0.0236106195347588,0.0883663815123699,-0.0264576414511742,-0.0630257266485174,-0.0091795988945823,-0.038146469315867,0.136024880273359,-0.0144477344783788,0.041135495070844,-0.0371349185617063,0.095424911121102,0.104460448794007,-0.0212306885951441,0.0564059742942271,0.00702389031950661,0.0202542710928215,0.0797820540838418,0.129544093617217,-0.0321519436471294,0.316499587292031,-0.0147780244065631,-0.0239855771716047,0.111665488830313,0.0142371543987241,0.077398942014303,0.0277686583169898,0.108634761518894,-0.00566112634146591,0.0734684432637932,0.0178420030142356,0.0422589196934185,-0.0622731001665938,-0.0586110929577585,0.126810237833532,0.0507067784042035
"SRR24657657",0.0978478204978325,-0.0212554517313264,0.0242166428443844,0.088045528244997,-0.0311481276220277,-0.0713229670529684,-0.000465166348708482,-0.0644096937476634,0.135240053489936,-0.0211401760671745,0.0492880835764594,-0.0400290653665444,0.099782064342018,0.106947260824453,-0.0244360334103107,0.0569260924606406,0.0106577947062545,0.0239612478087969,0.0878579478721948,0.138677827011012,-0.0378509031721005,0.308550922183718,-0.0187805164697752,-0.0369091657570579,0.107103608360753,0.021072576295496,0.0748160648007156,0.0340245124502534,0.105922276580392,-0.0124137848744285,0.0730936571391962,0.0221046223341754,0.0468988027618102,-0.0689184633194229,-0.0728661421338826,0.121080716624327,0.0387090895986755
"SRR24657658",0.0774498258223416,-0.0318284931418414,-0.00283782462445543,0.0552792128685873,-0.0124870147509878,-0.0658506571313469,-0.0162034470641516,-0.0558708416276805,0.133495683951547,-0.0568048714538927,0.00355707423830879,-0.00787511209924968,0.0508491491747849,0.0947846459687887,-0.00700143822956975,0.0304137575825561,-0.0112958287379907,-0.00546600483954271,0.0869660569178573,0.114248246749211,-0.041609136231192,0.31666058939269,-0.0114668331372749,-0.0403815597728713,0.0847080415646088,0.00052202724984085,0.0703032902255516,0.00248014263867234,0.0954570990710974,0.0165165995218652,0.0429230545054513,0.0108819749998383,0.0207529599069444,-0.0462066797066944,-0.066031028251495,0.0276236014811442,0.0224949153148342
"SRR24657659",0.0911046433363452,-0.019106690980587,0.0203994428753227,0.080277858681614,-0.0224173977706964,-0.0766138463656915,-0.00299870840976235,-0.0747764863295267,0.132184286460614,-0.0177803218380909,0.0445112789742483,-0.0415604758656475,0.0960326737860259,0.113337107082219,-0.0212850437187896,0.0538183193895958,-0.00768064104698204,0.010782311651789,0.10302102557084,0.133400738363891,-0.0423860029545027,0.289049538950022,-0.0122308772947826,-0.0346787224617797,0.110599808909044,0.0300134422908965,0.0677645116152978,0.024822493055493,0.117508462875391,0.00410755848022076,0.0970214380164037,0.0106494059434374,0.0520375019343273,-0.0752504852016837,-0.06816217628205,0.141463327633817,0.055497832566581
"SRR24657669",0.106882409017729,-0.025686340641449,0.0585061767881177,0.113496898828502,-0.00490360776898528,-0.0642349282519168,-0.0149548301017564,-0.0514321107565709,0.157202267029913,0.0428601537916636,0.0619194326807874,-0.0738098963725921,0.114597241080389,0.0482235249571604,0.0139009151468273,0.0863155968297832,0.00757360359614461,0.0258663296671768,0.0469120085298537,0.15385689122118,-0.0231296109001226,0.26775924843481,-0.00675238647285521,-0.0440909315860539,0.108280567091191,-0.0130068639811725,0.0780757776231736,-0.0139426187737638,0.0788716387280791,-0.00676702622390034,0.0851875079893367,-0.00433678866407412,0.0514659763516131,-0.0869214948023449,-0.097525101555015,0.00434678402139662,0.0182061352075649
"SRR24657680",0.0875600156788449,-0.020149936168287,0.0521153181149066,0.0927083233179795,-0.00663508085460331,-0.039866156947827,-0.0122817674647043,-0.0274539294320838,0.150192841101801,0.0469542616938842,0.0449025791104811,-0.0651436739866801,0.0876048331794577,0.065596561466761,0.00951161605328811,0.0701771791337671,0.000785511581209084,0.0225549295677956,0.07131806037565,0.129613137391059,-0.0131450228628015,0.271686155467338,0.0115333376377667,-0.0156964703328142,0.107867866724307,-0.00578450826554868,0.0677427520126759,-0.00796623549185144,0.0930987260958095,0.00365134911522553,0.0954503959032249,0.000670026873902695,0.048018496761731,-0.0644660377590933,-0.0527751645176606,0.0106770007174347,0.0332057970989646
"SRR24657691",0.107831986496472,-0.025638785999902,0.058150971868449,0.111275480635869,-0.00724915115998143,-0.0598108548118067,-0.011509120325213,-0.0561503038336013,0.150950727036026,0.0441123091568666,0.0628330678065724,-0.073971545160598,0.115153639470186,0.0505519982131944,0.0160714523766951,0.0882966144562185,0.00805480815942753,0.0281318289478986,0.0493178960651078,0.139820325619878,-0.0241023900459269,0.263141898913098,0.00803799200756847,-0.0459271470268024,0.106889868169871,-0.0131308723210949,0.0767611940542623,-0.0140953511908994,0.0798506975265858,0.00407626832268144,0.087412473588045,-0.00504528885850032,0.0515601322480732,-0.0798560441977366,-0.0984158379076914,0.00634707289298784,0.0129443449495264
"SRR24657702",0.0965140900702124,-0.0223300797945952,0.0562064386583924,0.103057065269339,-0.00446715647442022,-0.0489296183362408,-0.0104987148727957,-0.0368264265478579,0.148740209590044,0.0441214611562829,0.0529799153585774,-0.0699018225082864,0.0999407662365052,0.0497357059481227,0.0158677627298878,0.0782179118501208,0.00842552559228486,0.0267887749222076,0.0517731817301844,0.13830706997411,-0.020754774984262,0.268739359346555,0.0117462615798589,-0.0331172266709507,0.101232987499781,-0.0060443218131978,0.0692869797789653,-0.0104521395705935,0.0817739594921127,0.0146881796492899,0.0856278951134684,0.000908843200964945,0.0485997628090373,-0.0712005989544788,-0.0814179419215524,0.00707713454550504,0.0236016088725573
"SRR24657703",0.0901888373519464,-0.0233193695402001,0.048621546516715,0.0904391730536689,-0.00564203296897604,-0.0468230587103828,-0.0117422442253123,-0.0297262479938573,0.145519065335502,0.046605416723382,0.0411690080339017,-0.0582479167283578,0.0838808939043062,0.0647148074147283,0.0119603178961663,0.0722056727130391,-0.000426451624015346,0.0240202903073624,0.0626416386663991,0.126049993848338,-0.00768811302948331,0.265207473996758,0.0125936220276402,-0.0241489166710752,0.103832287553804,-0.00290470702679669,0.0699388447903203,-0.012313837602785,0.0914897102746361,0.0359044444842031,0.0893578085227526,0.0051372000824689,0.0408319050988444,-0.0546911079555296,-0.0685563265625815,0.0327250489629968,0.0347490009270851
"ERR7738942",0.0142392695624095,-0.0281603938193075,0.0136012831424487,-0.00886921743550463,-0.0298192779950636,0.0448484616929747,-0.0190218341361415,0.00903487198419472,-0.0232850548368212,0.048460104895859,-0.00422499136404265,0.0188746628951021,-0.00725965347669312,0.0991028480707782,-0.00875386355530095,0.00808603546378889,0.006248760630059,0.0264823525806756,0.0528700094536511,-0.0983434685517886,0.0593639525074354,0.0117458241898788,0.0228183093248889,0.0106096714248639,0.0498323037980691,-0.0131286177259685,0.0268503734164932,-0.0115844237657417,0.0647157507686014,-0.0111204314106706,0.036771965044294,-0.00992536139930628,-0.0251999207954553,0.0355378095385889,0.0163137147205023,-0.0117987634730779,0.0446059624818614
"ERR7738943",0.0222359973801145,-0.0294426763380137,0.0205764483029556,0.00100178348939371,-0.0200222711764365,0.0371141577727151,-0.0154733890796788,0.0106050068463032,-0.0122075682954517,0.0684953724163625,-0.0118700892031567,0.0123878507355636,-0.00477814251497729,0.104661610140163,0.00818053830003512,0.0169979085877685,-8.21267592236901e-05,0.0159939277092115,0.0570737347500942,-0.0377272901240166,0.0615612211671454,0.0157337380819169,0.00492560833283975,0.014493365785015,0.066204137322289,-0.017607499775978,0.035872788961484,-0.0165505409117879,0.0819512873087279,-0.00585143528784095,0.0476645304972024,-0.0114628407914559,-0.0207627178921075,0.0276681139965225,0.00654485560630195,-0.0116940596743765,0.033269964367989
"ERR7738944",0.00757836524457379,-0.0274965781538118,0.0140309506044721,-0.0130096370514306,-0.0395448407062474,0.0465884720022937,-0.0167560575210673,0.00579704689267071,-0.0161069437892128,0.0554376918887003,0.00845133377310994,0.0202601774663985,-0.0110728011512476,0.103173025523351,-0.0343014759613893,0.00908707407359586,0.00397388427088873,0.0316562099095909,0.0610194119851525,-0.0399249417149603,0.0715450788610908,0.00998937528000734,-0.0319899208131033,0.02170713960252,0.0544661424654835,-0.0127088902180021,0.0310551975844564,-0.0213173806861972,0.0747494566366948,-0.0094528955918189,0.0405872481873348,-0.010173744715125,-0.0253290217679666,0.0308123850489814,0.0312210779842163,-0.0105386536967976,0.0405313553476149
"SRR30606508",0.070886682845247,-0.0469444799806391,0.0364084333413829,0.0701730909899123,-0.0254691072352337,0.00232339803511118,-0.0228953671270421,0.0163302872180047,-0.0483609340338367,0.0484210743290997,0.0275375781008422,-0.0166728680820211,0.0634362419595869,-0.000287703199542868,0.00807075728407,0.0676429586723085,0.0168215184097789,0.0257463680458429,-0.041994601012005,-0.0296415260813202,0.0292552561635315,-0.00840174915815428,0.0433971547869009,-0.0613362980778925,0.0443952766617182,-0.0211690076912203,0.0439911210702026,-0.0260575281978187,0.0264514954137125,-0.0173801589728884,0.0203466976519581,-0.0122744101132675,-0.0174606949294489,-0.0285762747492751,-0.0829165505160423,-0.0259892763125953,-0.0596587774608706
"SRR30606509",0.0353394398339246,-0.0483554389641763,0.0184978174369748,0.0104914326386279,-0.0469544115440217,0.035614873864815,-0.0200554980782029,-0.126912409583159,-0.0463876623601059,0.0685145170956442,0.0337554195168007,0.0146872301972611,0.003143463488715,-0.0216473619066176,-0.0376871907260906,0.0453544838571554,0.00922756737749513,0.0392008156558773,-0.0367165481108181,0.0035188370646251,0.0811268567372154,-0.0144331289782815,-0.0542579581301621,-0.0635457069267253,-0.00257193257301285,-0.0233299304788385,0.0420033086851614,-0.0284570328759984,0.0143460816515042,-0.00629917042710061,-0.026509612443411,-0.0134750820376186,-0.0335572740202471,-0.012422824525673,-0.0305557458692895,-0.0239973089636,-0.0483284254296182
"SRR30606510",-0.0251933938019126,-0.0316109156166417,0.00558091348300985,-0.0429005359066434,-0.0271431213119932,0.0761199416591642,-0.022536687095559,0.00556183172831296,-0.0479852063894985,0.0580028799345022,-0.0132409768525579,0.0396149651199041,-0.0552852529985263,-0.049312387156747,-0.00500777789119454,-0.00828889087034263,0.0024153353949133,0.0192620841557701,-0.0398041674610463,-0.0593342908853431,0.0915630405725543,-0.0116765171556966,0.0323582076076822,-0.003922027630874,-0.0510231278813569,-0.0195400007828828,-0.00413392808440551,-0.0238828830280706,-0.0199021168706282,-0.0142614824583275,-0.044258785242727,-0.0143954187465047,-0.0503221600518189,0.0627669666706753,0.0483390811011722,-0.0215637388555223,0.000262795462140823
"SRR30606511",0.00407673433385347,-0.0394399019052028,0.00996660863989556,-0.0189034602373322,-0.0361503552559966,0.0521696911107645,-0.0193827162456528,-0.0352411619537931,-0.0594449809994125,0.058177583073919,0.00887846599340754,0.0287319482748838,-0.0283436564841043,-0.0371024750762562,-0.015695639807087,0.0190527424192204,0.000677726515363191,0.0250248953000003,-0.0382828188227948,-0.0468014055207497,0.0811334338961938,-0.0105267781121496,0.0123380639181006,-0.0309664181632177,-0.0269182629529607,-0.0173123089526325,0.0157116499121616,-0.0251220605253027,0.00231928690773146,-0.00736655459463475,-0.0349342180416226,-0.0127642408208938,-0.0395633630111143,0.0274878237459257,0.0106869449093864,-0.0211820332208059,-0.0110727267288053
"SRR30606517",0.0608334005721214,-0.0515763043373306,-0.027669016364091,0.04851756789315,-0.00371335484578123,-0.0639254968623005,-0.0240568769744162,-0.037675412654458,-0.0410217960207009,-0.0818700645677774,-0.000690345414435271,0.0214650883147169,0.0421018119068278,-0.0330659411469768,-0.0107952648367046,0.0255446467896245,-0.0110535688403034,-0.025902946718121,-0.0413090694661736,-0.0276038712948713,-0.0541029797652886,-0.00231468548332706,0.0372378075064162,-0.10564410277729,0.00167866251956932,-0.0251262284356555,0.0421342532622331,-0.0265849975431433,-0.00136153341700522,-0.0132094458383304,-0.0376226642794302,-0.0145184867964147,-0.0283858292008827,-0.037599420900737,-0.109675835728245,-0.0200758221517002,-0.0635679246825558
"SRR30606518",0.0212015657768333,-0.0492612128950137,-0.0455235742377771,0.0128606311585919,0.0136878747470425,-0.0491588026178175,-0.0268166595291211,-0.0130461046694113,-0.0248644481821121,-0.0916284120397741,-0.0366567612657841,0.0445788276929856,-0.00139040136082196,-0.0530694448259762,0.0153242786647007,-0.0143758534882957,-0.0143348062807634,-0.038465451588652,-0.0495065737603066,-0.0290036173121664,-0.0406707913386796,-0.00930999877774855,0.0566038361675714,-0.091361727669489,-0.0293428056710931,-0.020963191701451,0.0179792554005534,-0.0251941814977283,-0.0257317513373168,-0.0146078497302646,-0.0547157723227795,-0.0130957367594087,-0.0472773766673885,0.00829359072457251,-0.0672211959668235,-0.0251032973507593,-0.0574804411415017
"SRR30606519",0.0241452357169674,-0.0477716101303313,-0.0438633521655856,0.00902852446662276,0.0117247163282658,-0.0438992882582217,-0.0220099204421505,-0.0102279521988291,-0.0333481352141953,-0.0886273304036542,-0.0338552061762291,0.0432770384497762,-0.00420934755017122,-0.0508111621932443,0.0136785748894953,-0.0105474798069256,-0.0178750572725048,-0.0403931718038231,-0.0457094220343859,-0.0368830967409893,-0.0415969587380116,-0.00656792914846616,0.0592384482412879,-0.0819965341531951,-0.0269589825836893,-0.0225575064753371,0.0218524506421577,-0.0270195184893562,-0.0142655072560697,-0.0141201717514291,-0.053555439615385,-0.0140220011431629,-0.0427982574333263,0.00422380498083207,-0.0599135061559114,-0.0229027033973168,-0.0527194990415398
"SRR30606520",0.0521746975210968,-0.0508394826343095,-0.0337989384282723,0.0418259539302798,0.00860316632882588,-0.0626529713070152,-0.0248400900079745,-0.0438796643617466,-0.0353550778294175,-0.0896942635835651,-0.0176533222433413,0.0259994193674968,0.030348178717371,-0.0365767103851753,0.0114099400807868,0.0108071616806481,-0.0140081104615867,-0.0360868763829392,-0.0448843629264053,-0.0275480091502994,-0.0554401448674761,-0.0103770598948148,0.051907564710649,-0.104584311967542,-0.00534333451345499,-0.0240105009936535,0.0365830839616255,-0.0262441437396024,-0.0087999162690368,-0.0124274784757668,-0.0424715296473799,-0.0141803294641604,-0.0324487592132276,-0.0274354147277026,-0.103686830730074,-0.0226560595505711,-0.0666592840230907
"SRR30606521",-0.0633715857378896,-0.00614129241864843,-0.0399355662532176,-0.0805664135864258,0.00938639488484398,0.037179388414048,-0.00403287650735371,0.116531835943297,-0.0465407286479681,-0.0659978841425647,-0.0780777824306681,0.0532025310108981,-0.0911841136362506,-0.0687866786965544,0.0189469816171943,-0.0645150386557579,-0.0152569348360642,-0.0487964195524166,-0.0269022579729288,-0.0683511759290003,-0.00655484506652904,-0.0124489361527058,0.097736364359223,0.0841981377761092,-0.0907383534740416,-0.0113087884088068,-0.0354252341667717,-0.0208761201930014,-0.0362770003518136,-0.00788898887421533,-0.0628100019050907,-0.00789777177884643,-0.0284916800696391,0.0793743139023005,0.0952398354187336,-0.00535189048898347,0.169506943143944
