sample_ID,p_pseudoaligned,n_pseudoaligned, n_processed
SRR22565231,82.7,10460594, 12643984
SRR10030469,88.8,2987305, 3363245
ERR9604297,89.5,45571629, 50928504
SRR10030495,73.5,2740919, 3730812
SRR8800684,97.0,6641714, 6845261
SRR10030468,88.8,3042636, 3425974
SRR18568330,35.2,36598109, 103856890
SRR10030472,88.6,3288886, 3711478
SRR22565230,65.5,234609, 358254
SRR18568329,23.2,22484276, 96984704
ERR9604338,97.0,48585012, 50081308
ERR9604282,90.6,45585554, 50318764
SRR10030487,73.6,2730524, 3711750
SRR10030477,88.7,3170538, 3572975
SRR8800688,96.7,1176119, 1216050
SRR8800705,96.6,8229143, 8521213
SRR8800691,96.7,4658130, 4819277
SRR10030504,73.3,2545336, 3471730
SRR18568319,96.3,49981250, 51915012
SRR10030500,73.7,2489666, 3377203
SRR8800685,96.9,4505250, 4648582
SRR10030454,88.6,3287474, 3709123
SRR10030484,73.8,2700046, 3661041
SRR22565226,61.2,4931071, 8057059
ERR9604278,97.2,49068502, 50474902
SRR18568315,96.0,49638995, 51693464
ERR9604284,91.1,46766081, 51336376
SRR18568322,48.6,49600920, 102153386
SRR22565225,62.6,11886762, 18989634
SRR10030486,73.2,2617992, 3575911
SRR22565222,61.9,9044216, 14602878
SRR10030465,88.6,3295035, 3718346
ERR9604276,97.0,47484643, 48929178
SRR8800682,97.0,2334111, 2405142
SRR10030458,88.6,3307543, 3732286
SRR10030488,73.8,2663860, 3610625
SRR18568325,19.2,19625078, 101979688
SRR8800704,96.8,5962554, 6162088
ERR9604272,97.2,46897187, 48232942
SRR10030450,88.8,3052242, 3436724
SRR8800690,96.7,8786385, 9087445
SRR22565233,76.7,3333026, 4346087
SRR8800696,90.1,7278918, 8074936
SRR10030492,73.9,2650665, 3587168
SRR10030471,88.7,3224791, 3636917
SRR8800693,96.5,11999803, 12438787
SRR10030505,73.5,2749408, 3740402
SRR8800689,96.8,5787775, 5976042
SRR10030470,88.6,3308968, 3736708
ERR9604289,88.2,45627759, 51733914
SRR8800686,96.9,4791035, 4943005
SRR10030463,88.9,2925599, 3290253
SRR18568321,96.9,50187044, 51779478
SRR18568327,20.4,20807681, 101877456
SRR10030459,88.6,3288887, 3710886
SRR10030462,88.8,3111173, 3503832
SRR10030489,73.6,2496274, 3393142
SRR22565229,76.6,792465, 1035118
ERR9604342,96.9,49577046, 51157022
SRR10030467,88.7,3204971, 3613366
SRR22565236,74.2,6757713, 9105939
SRR8800697,96.8,2282577, 2357891
SRR8800677,97.0,2180440, 2248775
SRR18568316,94.6,48417804, 51175380
SRR18568317,94.2,48215209, 51188912
SRR10030493,73.6,2473478, 3360909
SRR8800703,96.6,1194744, 1236612
SRR10030491,73.7,2722638, 3694981
SRR8800702,96.8,2125347, 2195060
SRR10030455,88.7,3176039, 3579532
SRR8800694,96.4,9762027, 10126719
SRR18568326,17.2,17506954, 101933502
SRR10030485,73.5,2513064, 3417606
SRR22565232,71.3,454221, 637128
ERR9604290,86.6,44144530, 50954642
ERR9604277,97.2,48289124, 49705474
SRR18568323,57.5,58837935, 102415786
SRR10030482,88.7,3230263, 3641437
SRR30606523,95.8,40390307, 42166101
SRR30606509,92.6,40208888, 43408739
SRR30606525,94.3,41436029, 43944350
SRR30310362,56.7,11895552, 20983399
SRR24657655,64.7,15971581, 24668579
SRR30606520,95.9,41745147, 43551843
ERR7738942,94.4,25530514, 27031002
ERR7738944,94.8,28693752, 30274742
SRR7811361,93.4,11688092, 12514167
SRR3125005,97.9,10295348, 10518831
SRR7811358,93.1,11791646, 12665914
SRR8689412,90.1,9178285, 10185941
SRR30606522,93.5,39242570, 41967058
SRR30310369,95.9,20751924, 21628907
SRR8689389,93.1,9176092, 9852794
SRR3124735,96.7,25174980, 26026429
SRR24107306,70.1,22040811, 31422652
ERR7738940,95.3,28251259, 29650291
ERR7738941,95.4,27159360, 28476519
SRR24107301,76.0,23841832, 31358207
SRR30606532,97.0,20866078, 21519588
SRR3125004,95.2,10246833, 10761687
SRR30310344,70.8,15532545, 21951892
SRR8689414,95.2,10745370, 11293079
SRR8689383,93.5,9188643, 9829831
SRR30310353,42.1,12644712, 30064881
SRR30606524,88.8,39811945, 44855036
SRR3124998,96.7,9620466, 9947495
SRR3124748,96.5,8604410, 8919751
SRR30310346,96.8,20431650, 21096749
SRR24657657,57.0,12357482, 21694683
SRR30310361,53.7,14925751, 27811941
SRR3124747,97.6,9139710, 9363389
SRR3124997,97.1,12922062, 13309423
SRR8689406,94.7,10690017, 11289729
SRR3124726,97.7,10391477, 10635493
SRR30606519,95.6,40274784, 42138299
SRR7811366,96.9,11963630, 12341757
SRR8689401,94.1,10223312, 10870046
SRR30310366,76.3,19674936, 25781706
SRR30310370,96.0,23076309, 24044425
SRR12330768,95.4,13782489, 14442877
SRR30606529,92.2,42182037, 45739815
SRR24657703,77.2,15720499, 20374483
SRR8689407,93.2,10142912, 10882252
SRR30606508,83.5,37585094, 45011607
SRR30310357,82.3,19368694, 23526220
SRR7811359,96.8,12564831, 12978398
SRR30606527,93.0,39184558, 42154217
SRR7811365,96.5,8604410, 8919751
SRR30310356,64.2,14822786, 23105497
SRR30310358,96.1,22620724, 23538119
SRR3124750,97.2,13420283, 13808659
SRR30310347,96.4,22934583, 23795448
SRR3124740,93.4,11688092, 12514167
SRR30310351,61.8,13373495, 21651786
SRR8689400,94.3,10626172, 11274142
SRR24657702,72.6,15837145, 21828275
SRR24107303,66.8,20786177, 31096038
SRR30310352,58.1,13646746, 23484987
SRR12330766,96.1,14825171, 15427700
SRR30310350,84.9,19505263, 22978714
SRR8689394,94.5,9096496, 9623065
SRR30606528,93.5,39476070, 42211821
SRR3124724,98.0,11109228, 11332486
SRR3124745,94.5,12610433, 13348939
SRR24657658,62.9,14077399, 22376738
SRR8689413,93.9,9322937, 9932654
SRR30310360,82.8,19810850, 23921183
SRR30310345,77.6,21847845, 28150576
SRR24657669,72.1,14741057, 20451802
SRR3124761,97.8,10579966, 10814844
SRR8689388,93.2,12549394, 13466698
SRR3124987,96.8,13089074, 13516061
SRR7811364,98.0,10311210, 10524498
SRR24657691,73.3,17061110, 23264794
SRR8689390,93.0,10037076, 10797604
SRR24107305,68.7,21347202, 31064384
SRR3124766,97.8,11741122, 12004346
SRR8689382,93.4,9912564, 10609250
SRR30310365,79.3,18190820, 22926995
SRR3124769,98.1,20028003, 20421974
SRR30310368,67.4,13284374, 19697324
ERR7738939,95.9,32133095, 33500761
SRR30606518,96.5,42727998, 44297401
SRR3124986,97.3,20252610, 20818323
SRR3124990,96.5,13270398, 13751446
SRR30606511,89.2,38191357, 42807831
SRR24107304,73.5,23064586, 31374763
SRR3124775,96.6,11374896, 11777627
SRR8689402,94.6,10005205, 10578778
SRR3124764,97.9,11028372, 11268726
SRR3124992,96.6,13650660, 14133849
SRR3124772,97.9,13761877, 14050423
ERR7738946,86.6,25092950, 28982193
SRR30310359,77.4,17840317, 23043905
SRR12330763,93.9,11422212, 12168776
SRR8689408,95.2,9395824, 9874422
SRR30606517,95.8,41033881, 42828166
SRR3124994,96.4,11107922, 11521985
SRR30310349,96.7,21703392, 22443769
ERR7738947,86.5,24840655, 28718288
SRR30310355,62.3,12261790, 19670858
SRR30310367,71.7,14467250, 20165339
SRR30606510,90.4,40560584, 44852753
SRR12330764,93.7,11477475, 12247190
SRR3124743,96.8,12564831, 12978398
SRR24657656,64.4,16351959, 25373823
SRR24657680,75.2,17612346, 23425495
SRR30606526,91.5,40080150, 43796057
SRR30606530,93.0,38521474, 41439622
SRR7811362,94.5,12610433, 13348939
SRR3124722,97.9,8186170, 8358101
SRR3124752,93.1,11791646, 12665914
SRR12330765,94.9,9504591, 10013728
SRR3124742,98.0,10311210, 10524498
SRR30310348,82.6,17089986, 20690051
SRR3125002,97.8,11318568, 11575777
SRR24657659,60.4,13063892, 21623904
SRR12330767,95.4,12288467, 12879342
SRR7811363,96.7,25174980, 26026429
SRR3124731,97.3,15944686, 16393176
SRR3124770,98.0,8813252, 8993506
SRR30606531,88.9,37595125, 42279314
SRR3124756,95.2,15063572, 15816370
SRR7811360,97.2,13420283, 13808659
SRR24107302,77.3,24116092, 31187085
SRR30606533,97.0,20889768, 21546829
ERR7738945,86.6,27916909, 32220560
SRR3124759,97.8,10280256, 10506544
ERR7738943,94.6,29159598, 30823937
SRR3124737,96.9,11963630, 12341757
SRR30310364,74.4,15539524, 20880148
SRR30310354,70.2,15343835, 21854424
SRR3124729,98.2,15567942, 15847392
SRR3124767,97.8,5762645, 5892667
SRR30606521,96.0,19176298, 19976079
SRR8689396,93.8,11060979, 11797045
SRR8689395,94.2,10336714, 10968477
SRR30310363,58.3,12394189, 21265592
SRR3124754,98.0,15578453, 15902816
SRR8689384,93.8,10962220, 11691263
