"","MEblue","MEsalmon","MEroyalblue","MEpink","MEsienna3","MEpaleturquoise","MEplum1","MEdarkred","MEmidnightblue","MEbrown","MEdarkgreen","MEcyan","MEmagenta","MEgreenyellow","MEwhite","MEblack","MEturquoise","MElightsteelblue1","MEgreen","MEorangered4","MEskyblue3","MEgrey"
"SRR3124747",0.0176326824853118,0.0239621068914362,0.0333530202587167,-0.0094003000645493,-0.0287121795252368,-0.0116312004175956,-0.0716396690359305,0.00972925682742304,0.0478193113983974,-0.0126930363421529,-0.0154958024817394,0.04528210270204,-0.0310913876522679,-0.0335431665732567,-0.068964210648659,-0.0991743811278629,-0.04799824015952,-0.0280540084711443,-0.0216737769243024,-0.0189599749366143,-0.0258331980947996,0.0192629899970105
"SRR3124748",-0.118039534320595,-0.0619213336924879,-0.00776548623452786,-0.0251668912949824,-0.0359573585506964,-0.0483447288630856,-0.0691319651095218,0.0124741599225403,-0.0804674976747174,0.0330788383788745,-0.0171625287908022,0.0489930651748996,-0.0105914053396311,0.0975459058095176,0.138441887195134,0.0915008781374949,0.110016610641532,-0.0162886866137566,-0.0165068615931896,-0.0204179135991025,-0.0126016112418734,-0.0194119581622778
"SRR3124750",-0.130074248560161,-0.0609216004395456,-0.00591968213293546,-0.0133378767210893,-0.0422552415075808,-0.0858656835306961,-0.080360663277713,0.0726965989179458,-0.0339480715279637,0.0641530113024519,-0.0213060745162184,0.0438638736581725,0.0558071400245855,0.124014253210817,0.116695653207876,0.064777184599668,0.0899113956665707,0.0840377589134357,-0.0156419238683597,-0.013175374039396,-0.0186187842107647,0.015230137178529
"SRR3124752",-0.122160678935848,-0.0461388676960893,0.0226019120590548,-0.00201235074938711,-0.049212471365532,-0.0752633451407226,-0.0678543633055346,0.0765057917157446,-0.0561587813110962,0.0397868087725919,-0.0312224712037353,0.0408508862434892,0.00988988633049606,0.168003601747582,0.128309087056651,0.0780686137167518,0.0821471890285704,0.00406896407133879,-0.00657412750504154,-0.00196393256696114,-0.0101918702331285,-0.00671504151574172
"SRR3124754",0.0683139124990051,0.0214494400776266,-0.0112764467786868,-0.0135087495235862,-0.0268080574173823,0.084361549969857,-0.00461646769337681,-0.0684504082545295,-0.034886444006853,-0.0604048684012815,-0.00432106210122226,-0.020273388033888,-0.018470412588493,-0.0428678670596628,0.0321466069747297,0.00686625146824291,-0.0348851818042395,-0.0383874766425903,-0.023040601135615,-0.0164071789054221,-0.0214397388224173,0.0101197389627617
"SRR3124756",0.0380928321914744,-0.0121330751134029,-0.0352441203866799,-0.0236482449290279,-0.0375366690762255,0.0727467066232573,-0.0266437360822434,-0.0104933074523823,0.0272915438341263,-0.00976234096246696,0.0342957394716724,-0.0712858442882771,-0.112065125650922,-0.0362839286332364,0.00937322051456736,-0.0276038478043307,-0.0350747424434862,-0.0381841363045228,-0.0230469754342143,-0.0139296319076736,-0.0185180462506833,0.0218144041986223
"SRR3124759",0.0566634699406655,0.00229857645070962,-0.0393426093593965,-0.023562876392993,-0.0327605538183781,0.108116394580808,-0.020987512276152,-0.0201454768462643,-0.00501478545847238,-0.0411393660943413,0.0240660867423586,-0.0523084643798964,-0.0982796732712103,-0.0149331005609552,0.00106205295404682,-0.0180067466339697,-0.0367259330397209,-0.0419394311196963,-0.0248103206228333,-0.0190525427031264,-0.0242604062701146,-0.0263789899922481
"SRR3124761",0.0692254688127753,0.0158951654638735,-0.0224929558932555,-0.0181369938584683,-0.0348998192503212,0.087542522897617,-0.00161775160841206,-0.0683952703620958,-0.0362977495390248,-0.0594087367729965,0.00247693361544434,-0.023234960932792,-0.00717895206220864,-0.0469319064075126,0.0355589296964066,0.011755248578675,-0.0350714040777516,-0.0472196633260106,-0.0249035013369789,-0.0141210333877011,-0.0259387820903307,-0.00569700734886513
"SRR3124764",0.0478096087854518,0.00228113925418343,-0.0519874061475636,-0.0260936426585281,-0.0361424526307295,0.0898626671770501,-0.0348941910456175,-0.031066937458558,0.009770024430432,-0.030353512945025,0.0371087162926102,-0.0983352833349442,-0.141444667954138,-0.0385098673467384,-0.0128329227919036,-0.0403579270182368,-0.0409249734110243,-0.0407828647341114,-0.0243793013537559,-0.018112983497329,-0.0138146966641917,-0.0190815024971343
"SRR3124766",0.054245646231033,0.0105845485418915,-0.030702165406894,-0.0270046961761927,-0.03003394178681,0.105920172038882,-0.04376608080445,-0.0271211495322954,-0.000967338958549594,-0.0427227341091312,0.0278457978647955,-0.0681195372960004,-0.153884595689722,-0.0255482476008571,-0.0182759856053207,-0.0554157392376164,-0.0407724051111198,-0.0438626446490997,-0.0200115436977413,-0.0190629366689293,-0.0192347765195169,0.00864830065881378
