target_id,SRR13824033,SRR13824030,SRR13824004,SRR13824032,SRR13823989,SRR13824011,SRR13824003,SRR13823991,SRR13824015,SRR13823996,SRR13824001,SRR13824025,SRR13823990,SRR13824014,SRR13823992,SRR13823988,SRR13824009,SRR13824031,SRR13824020,SRR13824007,SRR13824022,SRR13824005,SRR13823994,SRR13824023,SRR13824021,SRR13824008,SRR13824024,SRR13824012,SRR13824039,SRR13823997,SRR13824028,SRR13824002,SRR13824018,SRR13824034,SRR13824010,SRR13824013,SRR13824029,SRR13824016,SRR13824035,SRR13824026,SRR13824019,SRR13824000,SRR13824006,SRR13823998,SRR13823995,SRR13824027,SRR13823999,SRR13824017,SRR13823993
AT3G61560.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G61560.3,4.96712,10.6807,20.0077,9.87389,10.5746,0.0,7.83048,11.099,4.71261,14.5423,16.4022,11.8073,8.33582,10.5667,15.8217,12.1273,0.0,11.0897,11.8543,3.74821,10.7696,10.2935,8.44067,0.0,0.0,5.683,14.6903,9.33062,0.0,0.0,6.71814,13.273,11.9931,6.03782,9.56655,11.5156,6.59092,15.2617,7.90511,8.58789,9.58158,14.2685,11.0029,12.5156,3.64744,11.2941,0.0,5.53765,14.1929
AT3G61570.1,2.6871,3.11528,4.77862,3.474,2.20894,0.0,3.04617,1.75362,4.41595,4.24369,2.99021,2.32161,2.656,2.14808,2.88427,0.736958,5.52154,3.95745,2.82433,3.49588,2.74321,2.43087,4.76326,0.0,0.0,3.87251,1.61512,3.24771,0.0,0.0,4.74713,2.89952,2.57834,5.14061,3.65396,3.0725,3.02707,2.80342,3.5228,3.09143,5.2239,1.81673,2.58607,2.97462,6.10137,3.1184,3.87066,4.19276,3.01695
AT3G61570.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G61571.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G61580.1,37.5267,42.1202,52.887,45.6439,67.7664,64.6639,34.124,103.723,61.9731,72.4528,46.8683,50.7145,81.4575,61.3101,75.2951,84.4457,57.9592,17.6098,45.8237,24.616,41.532,50.6636,63.5864,37.8289,23.6561,73.4719,41.6965,58.5751,28.1957,20.5722,72.7454,80.3909,56.0415,78.7854,44.205,46.6116,48.1406,66.7872,19.2988,63.7391,26.0086,25.5033,56.2356,52.8884,14.5727,75.6667,37.1078,61.539,71.5264
AT3G61590.1,0.0,0.0,0.0,2.52536,0.0,0.0,0.0,0.0,0.0,2.35415,0.0,2.61074,0.0,3.70859,0.0,0.0,0.0,0.0,0.0,0.0,2.59271,0.0,4.92333,0.0,0.0,0.0,0.0,2.05841,0.0,0.0,0.0,0.0,0.0,2.96435,0.0,3.54513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2592,1.84187,0.0,0.0,0.0,0.0
AT3G61590.2,0.0,2.83432,1.93229,0.0,3.93078,0.0,1.0078,2.97821,4.01769,0.000412767,2.41866,0.653504,4.51072,0.0,5.36493,3.17547,0.0,3.00045,2.29552,0.0,3.3544e-05,0.32765,0.0,0.0,0.0,6.03986,1.86247,2.93647,0.0,0.0,2.65784,4.3967,2.26434,0.0,1.10833,1.61648,3.10715,2.26719,0.0,4.85315,2.88047,3.85737,1.66083,0.0,8.19813e-10,2.31176,0.0,2.23791,3.65982
AT3G61590.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G61590.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121538,0.0,0.0,0.0,0.26429,0.0,0.0,0.0,0.635157,0.0,0.343512,0.0,0.0,0.0,0.0,0.307303,0.0,0.0,0.0,0.0,0.0,0.222044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G61600.1,37.4688,9.93146,18.4835,13.087,10.8771,13.3507,24.7917,15.2316,23.3413,15.1305,11.8965,14.1524,9.61209,12.4441,15.5187,10.7415,57.5194,28.7033,12.6634,23.213,13.628,21.8513,13.9171,38.1215,28.3581,12.5958,13.2415,17.2497,69.8565,16.9928,10.9395,18.1033,11.0413,17.7409,10.8877,10.5584,12.7405,14.937,0.0,18.1456,18.8081,14.6606,14.4051,13.3777,33.7618,22.7416,35.2219,21.3576,22.355
AT3G61600.2,4.71406,1.83458,0.930451,1.25849,1.00096,0.0,2.25984,2.34287,1.90719,1.29849,0.532241,1.34464,0.0,1.65762,1.75203,0.685999,7.39202,2.18018,2.07367,1.72831,0.85855,0.472165,0.867311,2.15792,6.72996,0.902744,0.773769,1.34212,0.0,0.0,0.658131,2.52288,0.784841,1.00008,4.50042,1.17591,1.56112,1.41168,16.8133,0.600744,5.08824,0.791858,1.13775,1.41554,2.64039,1.01885,13.6459,2.08006,1.42344
AT3G61610.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319348,0.0,0.0,0.0,0.0,0.0,0.0,0.155523,0.816278,0.0,0.0,1.45717,0.0,1.56889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G61610.2,0.0,1.35773,2.77689,1.24232,2.39863,0.0,1.28738,0.815233,2.56613,2.24185,1.54618,0.490964,0.0,3.45673,5.36342,1.1432,0.0,0.0,1.22312,0.0,2.32113,1.25564,5.30894,0.0,0.0,2.57181,1.12745,1.70298,0.0,0.0,2.54638,3.36986,0.99886,3.13278,2.8341,1.46653,0.541245,2.60654,0.0,0.110749,2.20774,0.0,2.47517,1.60679,0.472739,0.805386,0.0,0.77966,2.21453
AT3G61620.1,4.20924,20.3332,14.5552,14.8256,13.8586,0.0,13.7367,19.2289,14.4113,16.9547,11.2908,11.3793,13.8684,15.0988,19.5784,18.3016,0.0,7.74898,16.0009,3.91154,15.7524,14.8084,18.9991,10.3149,12.53,18.0539,13.0885,12.3163,0.0,13.0759,14.777,11.355,17.1091,11.1984,10.3478,10.7091,14.5901,18.0537,4.60448,13.0194,4.95941,10.6855,18.2691,11.471,8.84958,12.6644,10.1183,17.952,25.7025
AT3G61620.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0572,0.0,0.0,0.0,0.286591,0.0,0.0,0.0,0.0,0.0
AT3G61630.1,12.3996,16.9326,16.9623,19.4456,8.63027,0.0,8.84678,22.4089,21.2731,10.727,7.67045,9.37969,12.2561,24.3409,18.0872,11.1245,22.8659,5.26778,15.9402,7.97724,13.7292,12.943,10.8021,14.0149,13.6287,23.0735,14.4849,18.9275,0.0,26.6672,18.7947,14.795,14.8722,25.1053,26.497,7.55508,28.1021,17.2485,6.25613,17.4283,7.5857,11.2921,9.71954,13.0179,14.7993,24.9055,6.87389,30.3607,22.8271
AT3G61640.1,30.5994,24.7806,13.3374,15.663,23.2247,0.0,12.0574,21.1441,19.5442,16.3668,35.6755,10.7115,24.9078,19.9232,24.4725,17.7223,30.8219,6.62728,15.8919,10.036,26.4432,7.23702,30.799,8.82697,0.0,33.3516,10.2972,30.2375,138.163,16.7747,17.734,19.4226,22.6683,33.0615,13.2827,53.1354,19.4971,22.5346,0.0,17.0537,11.134,44.1965,10.19,12.1203,8.62816,10.4443,25.9762,25.8385,17.0183
AT3G61650.1,1.9932,12.0355,5.90769,9.58075,13.8389,0.0,1.71177,9.10544,9.74879,8.26701,5.34071,7.24847,11.8207,5.31124,9.27096,13.365,2.27538,2.44625,7.01822,4.32187,8.51083,7.68002,14.5582,3.25273,3.56001,6.4973,8.28801,7.97506,0.0,0.0,9.48029,6.72113,7.96884,5.52401,6.77723,6.62419,7.19671,5.54528,2.17798,6.07,4.10975,3.93119,7.52258,8.14444,1.84384,6.42532,0.0,7.67144,5.69283
AT3G61660.1,0.0,0.0,3.57405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00833636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G61660.2,0.0,0.0,0.0,0.893052,0.0,0.0,0.0,0.0,0.0,0.286503,2.969,0.0,0.0,0.0,0.856789,0.0,0.0,0.0,0.0,0.0,0.111426,0.0,0.585424,0.0,0.0,0.0,0.360825,1.22628,0.0,0.0,0.813553,1.61497,0.478694,0.0,0.0,0.0,0.0,0.832771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
